 , ,稚内(ワッカナイ）,日本,緯度:45.40N,経度:141.67E,高度:2 (m),
年,月,月平均気温,月平均最高気温,月平均最低気温,月降水量,月平均気温平年値,月平均降水量平年値,標準化降水指数（3か月）,標準化降水指数（6か月）,標準化降水指数（12か月）
,,(℃),(℃),(℃),(mm),(℃),（mm)
2019, 1, -4.1, -2.0, -6.3, 56, -4.3, 84.6, -2.12, -1.59, -0.36
2019, 2, -4.5, -2.3, -7.1, 47, -4.3, 60.6, -1.85, -1.77, -0.53
2019, 3, 0.1, 2.3, -2.6, 36, -0.6, 55.1, -1.43, -1.45, -0.88
2019, 4, 5.2, 8.5, 2.4, 11, 4.5, 50.3, -1.81, -2.51, -0.98
2019, 5, 12.6, 16.7, 9.4, 48, 9.1, 68.1, -1.75, -2.19, -1.32
2019, 6, 13.3, 16.3, 11.0, 49, 13.0, 65.8, -1.77, -2.03, -1.77
2019, 7, 18.0, 21.1, 15.8, 88, 17.2, 100.9, -0.66, -1.33, -2
2019, 8, 18.3, 20.6, 16.4, 164, 19.5, 123.1, 0.26, -0.54, -1.58
2019, 9, 18.1, 21.1, 14.8, 37, 17.2, 136.7, -0.48, -1.14, -1.71
2019, 10, 12.4, 15.3, 9.2, 55, 11.3, 129.7, -1.15, -1.24, -2.3
2019, 11, 2.6, 5.3, -0.3, 69, 3.8, 121.4, -2.86, -1.49, -2.29
2019, 12, -2.4, 0.2, -4.9, 92, -2.1, 112.9, -2.19, -1.53, -2.19
2020, 1, -3.7, -1.8, -6.1, 35, -4.3, 84.6, -2.15, -2.12, -2.3
2020, 2, -4.2, -2.2, -6.5, 40, -4.3, 60.6, -2.04, -3.32, -2.43
2020, 3, 1.1, 3.5, -1.4, 54, -0.6, 55.1, -1.67, -2.67, -2.31
2020, 4, 4.3, 7.4, 1.4, 43, 4.5, 50.3, -0.71, -1.94, -2.03
2020, 5, 9.9, 13.1, 7.2, 63, 9.1, 68.1, -0.29, -1.42, -1.95
2020, 6, 13.9, 16.9, 11.7, 98, 13.0, 65.8, 0.3, -0.82, -1.66
2020, 7, 17.7, 20.6, 15.5, 69, 17.2, 100.9, -0.02, -0.37, -1.78
2020, 8, 19.7, 22.4, 16.9, 333, 19.5, 123.1, 1.92, 1.5, -0.76
2020, 9, 18.5, 21.4, 16.3, 113, 17.2, 136.7, 1.36, 1.27, -0.31
2020, 10, 12.1, 14.8, 9.1, 166, 11.3, 129.7, 1.84, 1.42, 0.29
2020, 11, 4.7, 6.8, 2.4, 140, 3.8, 121.4, 0.42, 1.55, 0.64
2020, 12, -3.1, -1.4, -4.8, 68, -2.1, 112.9, 0.14, 1.11, 0.53
