 , ,旭川（アサヒカワ）,日本,緯度:43.75N,経度:142.37E,高度:119 (m),
年,月,月平均気温,月平均最高気温,月平均最低気温,月降水量,月平均気温平年値,月平均降水量平年値,標準化降水指数（3か月）,標準化降水指数（6か月）,標準化降水指数（12か月）
,,(℃),(℃),(℃),(mm),(℃),（mm)
2019, 1, -6.8, -2.9, -11.4, 69, -7.0, 66.9, -1.05, 0.11, 1.56
2019, 2, -5.8, -1.8, -10.1, 76, -6.0, 54.7, 0.26, -1.19, 1.69
2019, 3, -0.5, 4.0, -5.5, 57, -1.4, 55.0, 0.34, 0.05, 1.61
2019, 4, 5.5, 11.7, -0.9, 21, 5.6, 48.5, -0.35, -0.98, 1.59
2019, 5, 14.7, 21.9, 7.5, 51, 12.3, 66.6, -1.24, -0.59, 1.49
2019, 6, 17.3, 23.4, 12.4, 41, 17.0, 71.4, -2.18, -1.03, 1.03
2019, 7, 22.0, 27.7, 17.8, 51, 20.7, 129.5, -1.59, -1.4, -0.83
2019, 8, 21.0, 26.2, 17.0, 220, 21.2, 152.9, -0.22, -0.6, -1.26
2019, 9, 16.8, 22.7, 11.4, 128, 16.4, 136.3, 0, -0.59, -0.57
2019, 10, 10.2, 15.8, 5.1, 134, 9.4, 105.8, 0.7, -0.19, -0.59
2019, 11, 1.2, 5.3, -2.2, 69, 2.3, 114.5, -0.28, -0.37, -0.58
2019, 12, -3.8, -0.1, -8.0, 80, -4.2, 102.4, -0.58, -0.32, -0.74
2020, 1, -6.9, -3.0, -11.7, 40, -7.0, 66.9, -1.89, -0.11, -0.91
2020, 2, -5.8, -1.3, -11.0, 49, -6.0, 54.7, -1.27, -0.91, -1.13
2020, 3, 0.6, 5.5, -4.1, 62, -1.4, 55.0, -0.7, -0.86, -1.08
2020, 4, 4.8, 10.1, 0.0, 42, 5.6, 48.5, -0.37, -1.57, -0.96
2020, 5, 12.9, 19.0, 7.0, 102, 12.3, 66.6, 0.62, -0.47, -0.67
2020, 6, 17.5, 22.4, 13.2, 73, 17.0, 71.4, 0.5, -0.21, -0.46
2020, 7, 21.1, 27.1, 16.5, 49, 20.7, 129.5, -0.34, -0.49, -0.49
2020, 8, 22.2, 28.1, 17.2, 148, 21.2, 152.9, -0.61, -0.33, -0.88
2020, 9, 18.3, 23.5, 14.2, 67, 16.4, 136.3, -1.13, -0.82, -1.21
2020, 10, 10.2, 15.3, 6.1, 86, 9.4, 105.8, -0.85, -0.91, -1.41
2020, 11, 3.9, 7.4, 0.7, 125, 2.3, 114.5, -1.04, -1.06, -1.09
2020, 12, -4.3, -1.8, -7.3, 133, -4.2, 102.4, 0.45, -0.86, -0.87
