 , ,網走（アバシリ）,日本,緯度:44.02N,経度:144.27E,高度:37 (m),
年,月,月平均気温,月平均最高気温,月平均最低気温,月降水量,月平均気温平年値,月平均降水量平年値,標準化降水指数（3か月）,標準化降水指数（6か月）,標準化降水指数（12か月）
,,(℃),(℃),(℃),(mm),(℃),（mm)
2019, 1, -5.3, -2.3, -9.1, 50, -5.1, 53.8, -0.11, 0.26, 0.94
2019, 2, -5.8, -2.1, -9.9, 11, -5.4, 41.9, -0.74, -0.67, 0.79
2019, 3, -0.7, 3.1, -4.4, 39, -1.3, 39.3, -1.12, 0.42, 0.79
2019, 4, 5.0, 10.1, 0.3, 23, 4.5, 51.2, -1.72, -1.11, 0.75
2019, 5, 13.5, 18.9, 8.7, 67, 9.8, 64.1, -0.7, -0.97, 0.74
2019, 6, 14.2, 18.2, 10.8, 63, 13.5, 68.1, -0.6, -1.15, 0.27
2019, 7, 18.7, 23.4, 15.4, 55, 17.6, 85.8, -0.47, -1.42, -0.55
2019, 8, 18.8, 22.3, 16.2, 164, 19.6, 115.3, 0.34, -0.1, -0.54
2019, 9, 17.5, 21.4, 13.9, 81, 16.8, 115.0, 0.15, -0.19, 0.02
2019, 10, 11.9, 15.7, 7.9, 95, 10.9, 88.2, 0.57, 0.17, -0.42
2019, 11, 3.1, 7.1, -1.2, 28, 4.0, 58.1, -0.5, -0.13, -0.63
2019, 12, -2.2, 1.8, -6.5, 15, -2.4, 63.6, -1.21, -0.48, -1.01
2020, 1, -4.4, -1.6, -7.8, 37, -5.1, 53.8, -2.92, -0.52, -1.17
2020, 2, -5.5, -2.3, -9.6, 39, -5.4, 41.9, -1.76, -1.39, -0.94
2020, 3, 0.6, 4.4, -3.1, 64, -1.3, 39.3, -0.08, -1.05, -0.73
2020, 4, 3.8, 8.3, 0.4, 57, 4.5, 51.2, 0.6, -1.2, -0.47
2020, 5, 10.3, 15.8, 6.1, 70, 9.8, 64.1, 0.6, -0.51, -0.48
2020, 6, 15.2, 19.4, 12.1, 73, 13.5, 68.1, 0.36, 0.15, -0.35
2020, 7, 18.1, 21.4, 15.4, 45, 17.6, 85.8, -0.42, -0.04, -0.44
2020, 8, 20.7, 25.1, 17.1, 33, 19.6, 115.3, -1.5, -0.87, -1.56
2020, 9, 18.0, 22.2, 14.8, 69, 16.8, 115.0, -1.94, -1.3, -1.6
2020, 10, 11.9, 16.0, 8.4, 73, 10.9, 88.2, -1.47, -1.37, -1.8
2020, 11, 4.6, 8.0, 1.5, 61, 4.0, 58.1, -0.51, -1.44, -1.46
2020, 12, -3.6, -0.8, -6.9, 26, -2.4, 63.6, -0.72, -1.94, -1.37
