 , ,札幌（サッポロ）,日本,緯度:43.05N,経度:141.32E,高度:17 (m),
年,月,月平均気温,月平均最高気温,月平均最低気温,月降水量,月平均気温平年値,月平均降水量平年値,標準化降水指数（3か月）,標準化降水指数（6か月）,標準化降水指数（12か月）
,,(℃),(℃),(℃),(mm),(℃),（mm)
2019, 1, -3.0, -0.2, -5.9, 86, -3.2, 108.4, -1.26, 0.04, 0.76
2019, 2, -2.6, 0.3, -5.7, 33, -2.7, 91.9, -1.65, -1.4, 0.74
2019, 3, 2.5, 6.1, -0.9, 39, 1.1, 77.6, -2.1, -1.08, 0.28
2019, 4, 8.0, 13.3, 3.5, 31, 7.3, 54.6, -2.48, -2.49, 0.23
2019, 5, 15.7, 21.8, 10.8, 30, 13.0, 55.5, -2.3, -2.42, 0
2019, 6, 17.4, 22.4, 13.8, 71, 17.0, 60.4, -0.92, -2.33, -0.45
2019, 7, 21.7, 26.1, 18.7, 32, 21.1, 90.7, -1.18, -2.69, -1.33
2019, 8, 22.5, 26.5, 19.7, 145, 22.3, 126.8, -0.21, -1.11, -1.79
2019, 9, 19.3, 24.0, 15.4, 109, 18.6, 142.2, -0.51, -0.89, -1.36
2019, 10, 13.3, 17.5, 8.9, 97, 12.1, 109.9, -0.22, -0.82, -2.1
2019, 11, 3.9, 7.7, 0.5, 82, 5.2, 113.8, -0.67, -0.73, -1.89
2019, 12, -0.8, 2.6, -4.2, 62, -0.9, 114.5, -1.26, -1.16, -2.18
2020, 1, -2.3, 0.4, -5.3, 52, -3.2, 108.4, -2.24, -1.3, -2.5
2020, 2, -2.1, 0.8, -5.2, 157, -2.7, 91.9, -0.53, -0.97, -1.66
2020, 3, 3.3, 6.8, 0.0, 108, 1.1, 77.6, 0.6, -0.48, -1.13
2020, 4, 6.8, 11.1, 3.1, 53, 7.3, 54.6, 1.33, -0.4, -0.97
2020, 5, 13.7, 18.9, 9.4, 46, 13.0, 55.5, 0.3, -0.25, -0.88
2020, 6, 18.3, 22.6, 14.8, 52, 17.0, 60.4, -0.5, 0.11, -0.97
2020, 7, 21.2, 25.7, 18.2, 57, 21.1, 90.7, -0.73, 0.5, -0.81
2020, 8, 23.3, 28.1, 19.6, 124, 22.3, 126.8, -0.38, -0.23, -0.87
2020, 9, 20.1, 24.0, 17.0, 54, 18.6, 142.2, -1.04, -1.18, -1.22
2020, 10, 13.1, 17.1, 9.4, 66, 12.1, 109.9, -1.37, -1.65, -1.51
2020, 11, 6.3, 9.6, 3.0, 113, 5.2, 113.8, -1.36, -1.35, -1.2
2020, 12, -1.6, 1.3, -4.3, 27, -0.9, 114.5, -1.9, -1.94, -1.51
