 , ,釧路（クシロ）,日本,緯度:42.98N,経度:144.38E,高度:4 (m),
年,月,月平均気温,月平均最高気温,月平均最低気温,月降水量,月平均気温平年値,月平均降水量平年値,標準化降水指数（3か月）,標準化降水指数（6か月）,標準化降水指数（12か月）
,,(℃),(℃),(℃),(mm),(℃),（mm)
2019, 1, -5.0, 0.0, -10.7, 18, -4.8, 40.4, -1, -0.69, 0.29
2019, 2, -4.9, -0.3, -10.5, 18, -4.3, 24.8, -1.32, -1.12, 0.32
2019, 3, 0.0, 3.8, -4.0, 27, -0.4, 55.9, -1.52, -0.85, -0.24
2019, 4, 4.5, 9.2, 0.0, 56, 4.0, 79.4, -1.4, -1.82, -0.18
2019, 5, 10.6, 15.0, 6.6, 95, 8.6, 115.7, -1.14, -1.85, -0.09
2019, 6, 12.9, 16.4, 10.2, 92, 12.2, 114.2, -0.77, -1.48, -0.7
2019, 7, 17.0, 20.2, 14.7, 81, 16.1, 120.3, -0.79, -1.38, -1.44
2019, 8, 18.5, 21.7, 16.1, 371, 18.2, 142.3, 1.38, 0.68, -0.11
2019, 9, 17.3, 21.3, 13.2, 71, 16.5, 153.0, 1.06, 0.39, -0.18
2019, 10, 12.1, 16.1, 7.1, 183, 11.0, 112.7, 1.75, 0.99, 0.05
2019, 11, 3.8, 8.5, -1.8, 54, 4.7, 64.7, -0.17, 1.04, 0.03
2019, 12, -1.9, 2.8, -7.0, 36, -1.9, 56.6, 0.55, 1.14, 0.06
2020, 1, -4.0, 0.3, -8.9, 35, -4.8, 40.4, -0.76, 1.31, 0.14
2020, 2, -4.0, 0.1, -8.8, 27, -4.3, 24.8, -0.64, -0.56, 0.19
2020, 3, 1.5, 5.1, -2.1, 130, -0.4, 55.9, 0.85, 0.89, 0.75
2020, 4, 4.1, 8.0, 0.3, 65, 4.0, 79.4, 0.73, 0.02, 0.84
2020, 5, 9.4, 13.7, 5.9, 45, 8.6, 115.7, -0.19, -0.63, 0.56
2020, 6, 14.1, 18.0, 11.4, 150, 12.2, 114.2, -0.56, -0.02, 0.84
2020, 7, 16.5, 19.4, 14.3, 36, 16.1, 120.3, -1.26, -0.58, 0.57
2020, 8, 19.5, 23.6, 16.4, 95, 18.2, 142.3, -0.7, -0.76, -1.02
2020, 9, 17.2, 20.6, 14.1, 122, 16.5, 153.0, -1.34, -1.52, -0.73
2020, 10, 12.2, 16.3, 7.7, 144, 11.0, 112.7, -0.25, -1.09, -1.04
2020, 11, 5.8, 9.8, 1.4, 9, 4.7, 64.7, -0.56, -1.01, -1.3
2020, 12, -2.5, 2.2, -7.8, 0, -1.9, 56.6, -1.21, -1.86, -1.47
