 , ,根室（ネムロ）,日本,緯度:43.33N,経度:145.58E,高度:25 (m),
年,月,月平均気温,月平均最高気温,月平均最低気温,月降水量,月平均気温平年値,月平均降水量平年値,標準化降水指数（3か月）,標準化降水指数（6か月）,標準化降水指数（12か月）
,,(℃),(℃),(℃),(mm),(℃),（mm)
2019, 1, -3.7, -1.2, -7.2, 23, -3.4, 30.6, -0.7, -0.15, 0.71
2019, 2, -4.3, -1.3, -7.8, 18, -3.8, 23.5, -0.49, -0.49, 0.65
2019, 3, -0.4, 2.5, -3.3, 39, -0.8, 47.0, -0.99, 0.09, 0.7
2019, 4, 4.3, 8.6, 0.8, 30, 3.5, 64.4, -1.46, -1.45, 0.55
2019, 5, 10.7, 16.2, 6.7, 119, 7.7, 96.2, -0.54, -0.71, 0.82
2019, 6, 11.8, 16.4, 8.6, 63, 10.9, 103.0, -0.68, -1.05, 0.15
2019, 7, 16.0, 20.0, 13.2, 12, 14.9, 115.1, -1.33, -1.79, -1.24
2019, 8, 17.3, 20.6, 15.0, 260, 17.4, 132.3, 0.12, -0.23, -0.52
2019, 9, 17.5, 21.5, 14.5, 73, 16.2, 160.0, -0.21, -0.65, -0.52
2019, 10, 12.6, 15.5, 9.3, 190, 11.6, 126.1, 1.1, 0.13, -0.61
2019, 11, 5.0, 8.4, 1.1, 40, 5.6, 83.2, -0.5, -0.32, -0.68
2019, 12, -0.5, 3.0, -4.3, 39, -0.5, 59.0, 0.17, -0.15, -0.76
2020, 1, -2.9, -0.6, -5.8, 22, -3.4, 30.6, -1.36, 0.4, -0.8
2020, 2, -3.6, -1.1, -6.5, 37, -3.8, 23.5, -0.49, -0.76, -0.69
2020, 3, 1.2, 4.1, -1.7, 74, -0.8, 47.0, 0.15, 0.13, -0.53
2020, 4, 3.7, 7.8, 0.6, 45, 3.5, 64.4, -0.02, -0.94, -0.45
2020, 5, 8.5, 12.9, 4.8, 34, 7.7, 96.2, -1.12, -1.12, -1.03
2020, 6, 12.7, 16.9, 9.9, 217, 10.9, 103.0, 0.31, 0.26, -0.03
2020, 7, 15.2, 18.9, 12.8, 51, 14.9, 115.1, 0.01, -0.06, 0.19
2020, 8, 18.6, 22.7, 15.7, 16, 17.4, 132.3, -0.37, -0.92, -1.18
2020, 9, 16.6, 20.1, 14.0, 110, 16.2, 160.0, -2.13, -1.32, -0.99
2020, 10, 12.8, 15.7, 9.7, 107, 11.6, 126.1, -1.64, -1.2, -1.5
2020, 11, 6.6, 9.7, 3.4, 56, 5.6, 83.2, -0.86, -0.97, -1.4
2020, 12, -1.5, 1.3, -4.6, 12, -0.5, 59.0, -1.1, -2.49, -1.54
