 , ,寿都（スッツ）,日本,緯度:42.78N,経度:140.22E,高度:33 (m),
年,月,月平均気温,月平均最高気温,月平均最低気温,月降水量,月平均気温平年値,月平均降水量平年値,標準化降水指数（3か月）,標準化降水指数（6か月）,標準化降水指数（12か月）
,,(℃),(℃),(℃),(mm),(℃),（mm)
2019, 1, -2.0, 0.2, -4.2, 87, -2.3, 120.2, 0.05, 0.06, 0.8
2019, 2, -1.9, 0.4, -4.5, 37, -1.9, 87.4, -0.4, -0.73, 0.54
2019, 3, 2.3, 5.2, -1.0, 44, 1.2, 68.1, -1.58, -0.25, 0.31
2019, 4, 7.0, 11.6, 2.5, 33, 6.5, 59.3, -2.01, -0.93, 0.32
2019, 5, 13.8, 19.2, 8.9, 39, 11.5, 65.9, -1.75, -1.29, 0.05
2019, 6, 15.9, 20.1, 12.5, 50, 15.4, 60.7, -1.47, -2.23, -0.41
2019, 7, 19.7, 23.5, 17.4, 53, 19.5, 94.5, -1.34, -2.2, -1.22
2019, 8, 21.3, 24.7, 18.9, 139, 21.2, 130.1, -0.54, -1.3, -1.57
2019, 9, 18.7, 22.5, 14.6, 112, 18.1, 149.8, -0.64, -1.36, -1.2
2019, 10, 13.3, 16.8, 9.2, 69, 12.1, 128.0, -0.99, -1.68, -1.93
2019, 11, 4.4, 7.1, 1.6, 88, 5.6, 148.2, -2.12, -1.81, -2.06
2019, 12, -0.3, 2.1, -3.0, 127, -0.3, 138.5, -1.82, -1.56, -2.43
2020, 1, -1.1, 0.8, -3.4, 42, -2.3, 120.2, -1.69, -1.86, -2.85
2020, 2, -1.0, 1.1, -3.4, 77, -1.9, 87.4, -1.12, -2.32, -2.62
2020, 3, 3.2, 6.2, 0.3, 109, 1.2, 68.1, -0.46, -1.61, -2.17
2020, 4, 5.8, 9.3, 2.2, 76, 6.5, 59.3, 0.78, -0.73, -1.79
2020, 5, 11.7, 16.1, 7.8, 56, 11.5, 65.9, 0.76, -0.39, -1.71
2020, 6, 16.8, 20.5, 14.1, 98, 15.4, 60.7, 0.59, 0.02, -1.24
2020, 7, 19.6, 23.2, 17.1, 77, 19.5, 94.5, 0.15, 0.53, -1.18
2020, 8, 21.8, 25.7, 18.8, 149, 21.2, 130.1, 0.34, 0.59, -1.16
2020, 9, 19.2, 22.5, 16.4, 183, 18.1, 149.8, 0.32, 0.51, -0.63
2020, 10, 12.6, 16.3, 8.9, 142, 12.1, 128.0, 0.56, 0.51, -0.16
2020, 11, 6.7, 9.5, 3.6, 164, 5.6, 148.2, 0.8, 0.72, 0.28
2020, 12, -1.2, 0.8, -3.3, 114, -0.3, 138.5, 0.19, 0.31, 0.22
