 , ,浦河（ウラカワ）,日本,緯度:42.17N,経度:142.78E,高度:36 (m),
年,月,月平均気温,月平均最高気温,月平均最低気温,月降水量,月平均気温平年値,月平均降水量平年値,標準化降水指数（3か月）,標準化降水指数（6か月）,標準化降水指数（12か月）
,,(℃),(℃),(℃),(mm),(℃),（mm)
2019, 1, -2.6, 0.9, -6.2, 27, -2.4, 34.0, 0.25, 0.34, 0.96
2019, 2, -2.6, 0.6, -5.9, 21, -2.1, 28.9, -0.14, -0.14, 0.85
2019, 3, 1.4, 4.8, -1.8, 22, 0.9, 48.8, -1.28, 0.37, 0.41
2019, 4, 5.2, 9.3, 1.5, 47, 5.2, 77.9, -1.52, -0.69, 0.41
2019, 5, 11.6, 15.5, 7.8, 110, 9.7, 125.3, -1.02, -0.86, 0.47
2019, 6, 14.0, 17.6, 11.2, 93, 13.5, 95.9, -0.62, -1.07, 0
2019, 7, 18.0, 21.0, 15.7, 148, 17.7, 141.5, -0.01, -0.72, -0.26
2019, 8, 20.2, 23.1, 17.7, 192, 19.9, 161.6, 0.32, -0.24, -0.28
2019, 9, 18.5, 22.6, 14.8, 98, 17.7, 144.4, 0.14, -0.31, -0.1
2019, 10, 13.7, 17.5, 9.5, 212, 12.3, 117.7, 0.79, 0.56, 0.05
2019, 11, 5.0, 9.1, 0.6, 57, 6.1, 83.4, 0.33, 0.38, -0.16
2019, 12, 0.6, 4.6, -3.4, 46, 0.1, 59.0, 0.67, 0.37, -0.39
2020, 1, -1.4, 1.7, -4.4, 5, -2.4, 34.0, -1.61, 0.07, -0.53
2020, 2, -1.4, 1.6, -4.5, 20, -2.1, 28.9, -1.61, -0.43, -0.55
2020, 3, 3.0, 6.6, -0.4, 58, 0.9, 48.8, -0.9, 0.09, -0.34
2020, 4, 5.1, 8.2, 1.7, 96, 5.2, 77.9, 0.15, -0.8, -0.03
2020, 5, 10.1, 13.9, 6.9, 41, 9.7, 125.3, -0.76, -1.36, -0.41
2020, 6, 15.3, 19.1, 12.4, 114, 13.5, 95.9, -0.6, -0.92, -0.25
2020, 7, 17.9, 21.0, 15.8, 124, 17.7, 141.5, -0.79, -0.61, -0.4
2020, 8, 20.8, 24.0, 18.4, 128, 19.9, 161.6, -0.19, -0.61, -0.7
2020, 9, 18.7, 22.5, 15.5, 162, 17.7, 144.4, -0.03, -0.47, -0.37
2020, 10, 13.0, 16.5, 9.2, 173, 12.3, 117.7, 0.49, -0.15, -0.58
2020, 11, 7.1, 10.4, 3.9, 75, 6.1, 83.4, 0.78, 0.23, -0.5
2020, 12, -0.8, 2.4, -3.5, 28, 0.1, 59.0, 0.19, -0.04, -0.68
