 , ,函館（ハコダテ）,日本,緯度:41.82N,経度:140.75E,高度:35 (m),
年,月,月平均気温,月平均最高気温,月平均最低気温,月降水量,月平均気温平年値,月平均降水量平年値,標準化降水指数（3か月）,標準化降水指数（6か月）,標準化降水指数（12か月）
,,(℃),(℃),(℃),(mm),(℃),（mm)
2019, 1, -2.3, 1.1, -6.3, 65, -2.4, 77.4, -0.82, 0.85, 2.06
2019, 2, -1.8, 1.7, -5.8, 32, -1.8, 64.5, -0.55, 0.04, 1.79
2019, 3, 3.2, 7.3, -1.0, 31, 1.9, 64.1, -1.43, -0.36, 1.25
2019, 4, 7.6, 13.0, 2.3, 49, 7.3, 71.9, -1.99, -1.92, 1.05
2019, 5, 14.4, 19.8, 9.3, 49, 12.3, 88.9, -1.99, -1.81, 0.58
2019, 6, 16.9, 21.3, 13.0, 44, 16.2, 79.8, -1.66, -2.3, -0.04
2019, 7, 20.5, 24.1, 18.0, 47, 20.3, 123.6, -2, -2.61, -0.74
2019, 8, 22.6, 26.2, 19.5, 207, 22.1, 156.5, -0.57, -1.54, -0.97
2019, 9, 19.8, 24.6, 15.1, 110, 18.8, 150.5, -0.56, -1.59, -1.53
2019, 10, 14.1, 18.4, 9.3, 138, 12.5, 105.6, 0.32, -0.93, -1.93
2019, 11, 4.8, 9.1, 0.3, 55, 6.0, 110.8, -0.63, -1.09, -1.82
2019, 12, 0.3, 4.0, -3.4, 113, -0.1, 94.6, 0.23, -0.42, -1.63
2020, 1, -0.9, 2.3, -4.4, 41, -2.4, 77.4, -0.83, -0.14, -1.84
2020, 2, -0.7, 2.7, -4.2, 50, -1.8, 64.5, -0.27, -0.72, -1.88
2020, 3, 4.1, 8.7, -0.1, 106, 1.9, 64.1, -0.01, 0.08, -1.25
2020, 4, 6.7, 11.2, 2.3, 103, 7.3, 71.9, 0.97, 0.01, -0.83
2020, 5, 12.8, 17.2, 8.7, 50, 12.3, 88.9, 0.59, 0.18, -0.89
2020, 6, 17.8, 22.2, 14.1, 52, 16.2, 79.8, -0.52, -0.49, -0.73
2020, 7, 20.1, 23.7, 17.4, 116, 20.3, 123.6, -0.73, -0.04, -0.19
2020, 8, 23.4, 27.4, 20.0, 100, 22.1, 156.5, -0.93, -0.5, -0.87
2020, 9, 20.0, 23.6, 17.1, 291, 18.8, 150.5, 0.67, 0.31, 0.23
2020, 10, 12.8, 17.4, 8.3, 95, 12.5, 105.6, 0.57, 0.01, -0.06
2020, 11, 7.0, 10.8, 2.8, 69, 6.0, 110.8, 0.88, -0.01, 0.04
2020, 12, -1.3, 1.7, -4.4, 50, -0.1, 94.6, -1.27, -0.02, -0.35
