 , ,若松（ワカマツ）,日本,緯度:37.48N,経度:139.92E,高度:212 (m),
年,月,月平均気温,月平均最高気温,月平均最低気温,月降水量,月平均気温平年値,月平均降水量平年値,標準化降水指数（3か月）,標準化降水指数（6か月）,標準化降水指数（12か月）
,,(℃),(℃),(℃),(mm),(℃),（mm)
2019, 1, -0.1, 3.2, -3.2, 74, -0.3, 102.4, -1.49, -1.21, -2.13
2019, 2, 1.3, 5.3, -1.9, 36, 0.1, 69.2, -1.25, -1.71, -2.39
2019, 3, 5.3, 11.2, 0.3, 94, 3.7, 77.5, -0.84, -1.48, -2.13
2019, 4, 9.4, 15.7, 4.0, 49, 10.1, 63.1, -0.88, -1.62, -2.24
2019, 5, 17.3, 25.3, 10.0, 101, 16.2, 75.8, 0.54, -0.69, -2.29
2019, 6, 20.2, 25.6, 16.1, 179, 20.5, 108.6, 1.22, 0.15, -1.34
2019, 7, 24.0, 28.9, 20.4, 85, 24.0, 196.4, -0.06, -0.43, -1.21
2019, 8, 27.0, 32.8, 22.8, 109, 25.2, 139.1, -0.5, -0.29, -1.42
2019, 9, 21.9, 27.6, 17.5, 72, 20.8, 124.0, -1.45, -0.79, -1.7
2019, 10, 15.8, 20.7, 11.6, 249, 14.1, 112.6, 0.7, 0.43, -0.56
2019, 11, 8.3, 13.2, 3.7, 40, 7.4, 75.5, 0.77, 0.02, -0.44
2019, 12, 2.9, 6.8, -0.5, 59, 2.2, 108.7, 0.75, -0.65, -0.58
2020, 1, 2.8, 6.5, -0.1, 106, -0.3, 102.4, -1.17, -0.13, -0.38
2020, 2, 2.3, 6.7, -1.4, 69, 0.1, 69.2, -0.74, -0.04, -0.21
2020, 3, 5.8, 11.6, 0.6, 91, 3.7, 77.5, 0.05, 0.49, -0.2
2020, 4, 8.9, 15.1, 3.4, 115, 10.1, 63.1, 1.04, -0.35, 0.12
2020, 5, 17.3, 24.1, 11.4, 52, 16.2, 75.8, 0.79, -0.19, -0.12
2020, 6, 22.2, 28.0, 17.2, 68, 20.5, 108.6, -0.21, -0.19, -0.69
2020, 7, 23.2, 27.3, 20.3, 483, 24.0, 196.4, 1.96, 2.04, 1.25
2020, 8, 27.0, 33.1, 22.3, 75, 25.2, 139.1, 1.54, 1.84, 1.22
2020, 9, 22.7, 27.9, 19.2, 100, 20.8, 124.0, 1.38, 1.35, 1.29
2020, 10, 13.9, 18.7, 10.2, 75, 14.1, 112.6, -1.05, 0.8, 0.4
2020, 11, 8.1, 13.0, 4.0, 37, 7.4, 75.5, -1.24, 0.67, 0.39
2020, 12, 2.3, 5.5, -0.5, 68, 2.2, 108.7, -1.25, 0.6, 0.43
