 , ,青森（アオモリ）,日本,緯度:40.82N,経度:140.77E,高度:2 (m),
年,月,月平均気温,月平均最高気温,月平均最低気温,月降水量,月平均気温平年値,月平均降水量平年値,標準化降水指数（3か月）,標準化降水指数（6か月）,標準化降水指数（12か月）
,,(℃),(℃),(℃),(mm),(℃),（mm)
2019, 1, -0.6, 2.0, -3.1, 96, -0.9, 139.9, -1.06, 0, 0.92
2019, 2, 0.0, 3.1, -3.0, 95, -0.4, 99.0, -0.69, -0.4, 0.87
2019, 3, 3.8, 8.3, -0.3, 87, 2.8, 75.2, -0.82, -0.14, 0.88
2019, 4, 8.5, 13.9, 3.8, 61, 8.5, 68.7, -0.26, -0.92, 0.83
2019, 5, 15.8, 22.1, 10.4, 28, 13.7, 76.7, -0.99, -0.99, 0.14
2019, 6, 18.1, 23.2, 13.9, 52, 17.6, 75.0, -1.5, -1.64, -0.08
2019, 7, 22.1, 26.7, 18.7, 38, 21.8, 129.5, -2.27, -1.82, -0.87
2019, 8, 24.8, 29.8, 21.4, 196, 23.5, 142.0, -0.48, -0.88, -0.87
2019, 9, 21.2, 26.1, 17.0, 45, 19.9, 133.0, -1.01, -1.65, -1.29
2019, 10, 15.1, 19.7, 10.5, 172, 13.5, 119.2, 0.31, -0.91, -1.35
2019, 11, 6.3, 10.7, 2.5, 73, 7.2, 137.4, -0.93, -1.05, -1.42
2019, 12, 2.0, 5.8, -1.2, 153, 1.4, 155.2, 0.01, -0.72, -1.5
2020, 1, 0.9, 3.8, -1.7, 83, -0.9, 139.9, -1.77, -0.72, -1.57
2020, 2, 1.2, 4.5, -1.7, 67, -0.4, 99.0, -1.52, -1.55, -1.65
2020, 3, 5.1, 9.9, 1.2, 81, 2.8, 75.2, -1.5, -0.94, -1.57
2020, 4, 7.8, 12.5, 3.5, 105, 8.5, 68.7, -0.1, -1.3, -1.44
2020, 5, 14.4, 19.3, 10.1, 75, 13.7, 76.7, 0.66, -0.76, -1.2
2020, 6, 19.3, 24.2, 15.6, 103, 17.6, 75.0, 0.88, -0.59, -0.89
2020, 7, 21.2, 25.3, 18.3, 200, 21.8, 129.5, 1.26, 0.95, -0.04
2020, 8, 25.2, 29.5, 21.9, 127, 23.5, 142.0, 1.02, 1.12, -0.44
2020, 9, 21.3, 25.8, 17.8, 200, 19.9, 133.0, 1.19, 1.39, 0.37
2020, 10, 13.7, 18.2, 9.7, 92, 13.5, 119.2, 0.37, 1, -0.06
2020, 11, 8.0, 12.2, 4.0, 123, 7.2, 137.4, 0.37, 0.89, 0.2
2020, 12, 0.6, 3.3, -1.6, 166, 1.4, 155.2, -0.19, 0.76, 0.26
