 , ,秋田（アキタ）,日本,緯度:39.72N,経度:140.08E,高度:6 (m),
年,月,月平均気温,月平均最高気温,月平均最低気温,月降水量,月平均気温平年値,月平均降水量平年値,標準化降水指数（3か月）,標準化降水指数（6か月）,標準化降水指数（12か月）
,,(℃),(℃),(℃),(mm),(℃),（mm)
2019, 1, 0.9, 4.0, -1.8, 86, 0.4, 118.9, -2, -0.16, 0.98
2019, 2, 1.5, 4.8, -1.7, 67, 0.8, 98.5, -1.3, -0.67, 0.83
2019, 3, 5.4, 9.5, 1.3, 60, 4.0, 99.5, -2.04, -1.9, 0.55
2019, 4, 9.4, 13.9, 4.6, 78, 9.6, 109.9, -2.05, -2.79, 0.31
2019, 5, 16.8, 22.2, 11.8, 37, 15.2, 125.0, -2.78, -2.72, -0.76
2019, 6, 19.9, 24.4, 16.0, 191, 19.6, 122.9, -0.58, -1.57, -0.65
2019, 7, 24.3, 28.7, 20.8, 89, 23.4, 197.0, -0.86, -1.75, -1.29
2019, 8, 26.5, 30.5, 23.2, 240, 25.0, 184.6, 0.23, -0.83, -1.12
2019, 9, 22.0, 26.4, 17.9, 102, 21.0, 161.0, -0.75, -0.95, -1.88
2019, 10, 16.0, 20.5, 11.8, 240, 14.5, 175.5, 0.53, -0.24, -1.53
2019, 11, 8.1, 12.4, 4.0, 166, 8.3, 189.1, -0.04, 0.1, -1.05
2019, 12, 3.6, 7.3, 0.5, 214, 2.8, 159.8, 1.08, 0, -0.73
2020, 1, 2.3, 5.2, -0.3, 119, 0.4, 118.9, 0.34, 0.57, -0.57
2020, 2, 2.5, 6.1, -0.8, 149, 0.8, 98.5, 1.27, 0.62, -0.23
2020, 3, 6.4, 10.9, 2.2, 123, 4.0, 99.5, 1.12, 1.38, 0.03
2020, 4, 8.6, 13.0, 4.7, 117, 9.6, 109.9, 1.01, 0.83, 0.19
2020, 5, 15.5, 19.8, 11.4, 112, 15.2, 125.0, 0.13, 0.92, 0.49
2020, 6, 20.9, 25.2, 17.1, 125, 19.6, 122.9, -0.06, 0.5, 0.23
2020, 7, 23.0, 26.3, 20.3, 337, 23.4, 197.0, 1.02, 1.33, 1.3
2020, 8, 26.2, 30.3, 22.8, 145, 25.0, 184.6, 0.73, 0.66, 0.85
2020, 9, 22.9, 27.5, 19.3, 297, 21.0, 161.0, 1.41, 1.11, 1.63
2020, 10, 14.5, 18.7, 10.9, 148, 14.5, 175.5, 0.59, 1.05, 1.25
2020, 11, 8.9, 12.9, 5.4, 205, 8.3, 189.1, 1.11, 1.15, 1.33
2020, 12, 2.3, 5.1, -0.4, 148, 2.8, 159.8, -0.06, 1.09, 1.09
