 , ,盛岡（モリオカ）,日本,緯度:39.68N,経度:141.15E,高度:155 (m),
年,月,月平均気温,月平均最高気温,月平均最低気温,月降水量,月平均気温平年値,月平均降水量平年値,標準化降水指数（3か月）,標準化降水指数（6か月）,標準化降水指数（12か月）
,,(℃),(℃),(℃),(mm),(℃),（mm)
2019, 1, -1.1, 2.5, -4.9, 21, -1.6, 49.4, -2.18, -0.58, 0.14
2019, 2, -0.1, 4.3, -4.1, 49, -0.9, 48.0, -1.33, -1.03, 0.09
2019, 3, 3.9, 9.1, -0.9, 53, 2.6, 82.1, -1.45, -2.55, -0.36
2019, 4, 8.1, 14.1, 2.1, 90, 8.7, 85.4, -0.86, -2.39, -0.5
2019, 5, 16.4, 23.3, 9.7, 111, 14.5, 106.5, -0.33, -1.09, -0.93
2019, 6, 18.6, 23.9, 13.9, 134, 18.8, 109.4, 0.43, -0.45, -0.72
2019, 7, 22.6, 27.5, 18.8, 58, 22.4, 197.5, -0.66, -0.99, -1.16
2019, 8, 25.4, 30.5, 21.6, 114, 23.5, 185.4, -1.37, -1.49, -1.68
2019, 9, 20.3, 25.8, 15.7, 57, 19.3, 151.7, -2.42, -1.8, -2.62
2019, 10, 14.1, 19.1, 9.2, 206, 12.6, 108.7, -0.67, -0.97, -1.83
2019, 11, 5.9, 10.8, 1.0, 70, 6.2, 85.6, -0.19, -1.28, -1.61
2019, 12, 1.3, 5.1, -2.2, 69, 0.8, 70.2, 1.04, -1.51, -1.53
2020, 1, 0.2, 4.0, -3.3, 51, -1.6, 49.4, -0.51, -1.03, -1.35
2020, 2, 1.0, 4.9, -2.7, 54, -0.9, 48.0, -0.21, -0.36, -1.44
2020, 3, 4.8, 10.0, 0.0, 111, 2.6, 82.1, 0.43, 1.08, -0.94
2020, 4, 7.3, 12.2, 2.4, 91, 8.7, 85.4, 0.38, -0.16, -0.96
2020, 5, 15.4, 20.8, 10.3, 96, 14.5, 106.5, 0.46, 0.16, -1.01
2020, 6, 20.4, 26.0, 15.4, 124, 18.8, 109.4, 0.13, 0.27, -1.04
2020, 7, 21.5, 25.5, 18.8, 467, 22.4, 197.5, 2.07, 2.07, 1.16
2020, 8, 25.3, 30.4, 21.4, 212, 23.5, 185.4, 2.1, 2.31, 1.52
2020, 9, 21.0, 25.8, 17.3, 102, 19.3, 151.7, 1.68, 1.63, 1.74
2020, 10, 12.7, 17.7, 8.5, 70, 12.6, 108.7, -0.59, 1.38, 1.14
2020, 11, 6.8, 11.7, 2.3, 57, 6.2, 85.6, -1.58, 1.22, 1.07
2020, 12, 0.2, 3.8, -3.3, 29, 0.8, 70.2, -2.05, 0.97, 0.91
