 , ,仙台（センダイ）,日本,緯度:38.25N,経度:140.88E,高度:38 (m),
年,月,月平均気温,月平均最高気温,月平均最低気温,月降水量,月平均気温平年値,月平均降水量平年値,標準化降水指数（3か月）,標準化降水指数（6か月）,標準化降水指数（12か月）
,,(℃),(℃),(℃),(mm),(℃),（mm)
2019, 1, 2.4, 6.2, -0.9, 4, 2.0, 42.3, -1.78, -0.16, -1
2019, 2, 3.7, 8.0, -0.1, 13, 2.4, 33.9, -1.87, -1.47, -1.17
2019, 3, 7.0, 12.0, 2.5, 83, 5.5, 74.4, -1.17, -1.6, -1.36
2019, 4, 10.2, 15.4, 5.6, 91, 10.7, 90.2, -0.22, -1.62, -1.02
2019, 5, 17.4, 22.8, 12.6, 81, 15.6, 110.2, -0.18, -1.24, -1.09
2019, 6, 19.0, 22.8, 15.9, 169, 19.2, 143.7, 0.06, -0.59, -0.76
2019, 7, 22.4, 25.9, 20.0, 112, 22.9, 178.4, -0.43, -0.53, -0.53
2019, 8, 26.2, 30.0, 23.4, 89, 24.4, 157.8, -0.57, -0.68, -1.45
2019, 9, 22.4, 26.6, 19.0, 73, 21.2, 192.6, -1.5, -1.34, -1.95
2019, 10, 16.9, 20.7, 13.3, 645, 15.7, 150.6, 1.82, 1.35, 0.79
2019, 11, 10.0, 14.7, 5.7, 6, 9.8, 58.7, 2.23, 1.24, 0.72
2019, 12, 5.4, 9.8, 1.6, 27, 4.5, 44.1, 2.92, 1.03, 0.7
2020, 1, 4.0, 7.5, 0.8, 127, 2.0, 42.3, 0.28, 1.79, 1.18
2020, 2, 4.4, 8.6, 0.9, 20, 2.4, 33.9, 0.9, 2.37, 1.32
2020, 3, 7.5, 11.9, 3.5, 46, 5.5, 74.4, 0.8, 3.01, 1.13
2020, 4, 10.1, 14.6, 6.1, 154, 10.7, 90.2, 0.33, 0.4, 1.35
2020, 5, 16.8, 22.0, 12.7, 106, 15.6, 110.2, 0.53, 0.99, 1.39
2020, 6, 21.2, 25.7, 17.8, 44, 19.2, 143.7, -0.38, 0.03, 0.92
2020, 7, 21.3, 24.3, 19.3, 398, 22.9, 178.4, 1.11, 1.09, 2.18
2020, 8, 26.6, 30.9, 23.5, 73, 24.4, 157.8, 0.42, 0.56, 1.98
2020, 9, 22.5, 26.2, 19.8, 192, 21.2, 192.6, 0.9, 0.65, 2.27
2020, 10, 15.6, 19.3, 12.2, 63, 15.7, 150.6, -0.89, -0.02, 0.07
2020, 11, 10.8, 15.6, 6.4, 7, 9.8, 58.7, -0.91, -0.3, 0.06
2020, 12, 3.9, 7.5, 0.5, 22, 4.5, 44.1, -1.61, 0.12, 0.05
