 , ,輪島（ワジマ）,日本,緯度:37.38N,経度:136.88E,高度:5 (m),
年,月,月平均気温,月平均最高気温,月平均最低気温,月降水量,月平均気温平年値,月平均降水量平年値,標準化降水指数（3か月）,標準化降水指数（6か月）,標準化降水指数（12か月）
,,(℃),(℃),(℃),(mm),(℃),（mm)
2019, 1, 3.4, 6.7, 0.5, 242, 3.3, 219.2, -1.43, 1.38, 1.31
2019, 2, 4.0, 8.3, 0.3, 94, 3.4, 139.6, -0.72, 0.05, 1.23
2019, 3, 7.0, 12.0, 2.1, 112, 6.1, 138.6, -0.8, -1.19, 1.06
2019, 4, 10.2, 15.0, 5.1, 123, 11.1, 121.6, -1.16, -1.8, 0.76
2019, 5, 17.2, 23.2, 11.3, 56, 16.1, 115.6, -1.14, -1.24, 0.37
2019, 6, 20.2, 24.2, 16.4, 278, 20.0, 155.8, 0.46, -0.16, 0.86
2019, 7, 24.7, 28.4, 21.8, 29, 24.4, 199.6, -0.79, -1.2, 0.4
2019, 8, 26.7, 31.1, 23.2, 209, 25.9, 176.8, -0.08, -0.57, -0.41
2019, 9, 22.9, 27.6, 18.9, 71, 22.0, 214.5, -1.81, -1.09, -1.52
2019, 10, 17.6, 21.6, 13.6, 188, 16.3, 171.1, -0.61, -1.02, -1.74
2019, 11, 10.7, 15.5, 6.1, 171, 10.8, 231.5, -1.35, -0.97, -1.38
2019, 12, 7.2, 11.7, 3.0, 195, 5.9, 278.4, -1.04, -1.95, -1.5
2020, 1, 5.6, 8.9, 2.4, 249, 3.3, 219.2, -1.01, -1.16, -1.56
2020, 2, 5.2, 9.2, 1.6, 171, 3.4, 139.6, -0.43, -1.38, -1.32
2020, 3, 7.6, 12.2, 2.8, 146, 6.1, 138.6, 0.44, -0.55, -1.21
2020, 4, 10.0, 14.7, 5.3, 111, 11.1, 121.6, 0.15, -0.78, -1.3
2020, 5, 17.0, 22.1, 12.6, 40, 16.1, 115.6, -1.06, -0.97, -1.37
2020, 6, 21.6, 25.9, 17.6, 85, 20.0, 155.8, -1.62, -0.85, -2.07
2020, 7, 23.4, 26.6, 20.9, 376, 24.4, 199.6, 0.18, 0.17, -0.82
2020, 8, 27.3, 31.9, 23.7, 190, 25.9, 176.8, 0.7, 0.12, -0.88
2020, 9, 23.6, 28.2, 19.8, 186, 22.0, 214.5, 0.7, -0.11, -0.42
2020, 10, 16.3, 21.1, 12.0, 96, 16.3, 171.1, -0.59, -0.37, -0.73
2020, 11, 11.7, 16.3, 7.1, 196, 10.8, 231.5, -0.98, -0.16, -0.62
2020, 12, 5.9, 9.3, 2.8, 350, 5.9, 278.4, -0.3, 0.38, -0.12
