 , ,新潟（ニイガタ）,日本,緯度:37.89N,経度:139.02E,高度:4 (m),
年,月,月平均気温,月平均最高気温,月平均最低気温,月降水量,月平均気温平年値,月平均降水量平年値,標準化降水指数（3か月）,標準化降水指数（6か月）,標準化降水指数（12か月）
,,(℃),(℃),(℃),(mm),(℃),（mm)
2019, 1, 3.0, 6.2, 0.5, 150, 2.5, 180.9, -1.41, 0.39, -0.3
2019, 2, 4.0, 7.6, 0.9, 66, 3.1, 115.8, -1.17, -0.89, -0.5
2019, 3, 7.2, 12.0, 3.0, 92, 6.2, 112.0, -1.46, -1.75, -0.57
2019, 4, 10.8, 15.4, 6.5, 108, 11.3, 97.2, -1.13, -1.69, -0.73
2019, 5, 18.0, 23.6, 13.1, 62, 16.7, 94.4, -0.56, -1.26, -1.04
2019, 6, 20.8, 24.8, 17.4, 175, 20.9, 121.1, 0.61, -0.5, -0.53
2019, 7, 25.2, 29.2, 22.0, 74, 24.9, 222.3, -0.72, -1.16, -0.66
2019, 8, 27.5, 31.7, 24.4, 177, 26.5, 163.4, -0.11, -0.37, -1.02
2019, 9, 23.4, 27.6, 19.6, 31, 22.5, 151.9, -1.44, -0.98, -1.92
2019, 10, 17.7, 21.6, 13.4, 189, 16.7, 157.7, -0.47, -0.83, -1.82
2019, 11, 11.0, 15.2, 6.8, 137, 10.5, 203.5, -1.48, -0.99, -1.55
2019, 12, 6.6, 10.6, 3.0, 94, 5.3, 225.9, -1.54, -2.08, -2.2
2020, 1, 5.2, 8.2, 2.4, 146, 2.5, 180.9, -2.23, -1.99, -2.27
2020, 2, 5.0, 8.7, 1.5, 102, 3.1, 115.8, -2.12, -2.7, -2.13
2020, 3, 7.9, 12.2, 3.7, 121, 6.2, 112.0, -0.58, -1.55, -1.91
2020, 4, 10.1, 14.6, 6.0, 108, 11.3, 97.2, 0.02, -1.79, -1.92
2020, 5, 17.2, 22.1, 13.2, 82, 16.7, 94.4, 0.22, -1.54, -1.7
2020, 6, 22.3, 26.6, 18.6, 81, 20.9, 121.1, -0.34, -0.62, -2.09
2020, 7, 23.6, 26.8, 21.3, 650, 24.9, 222.3, 2.41, 2.32, 0.52
2020, 8, 27.7, 31.5, 24.3, 102, 26.5, 163.4, 1.99, 2.01, 0.1
2020, 9, 24.4, 28.6, 21.1, 251, 22.5, 151.9, 2.27, 2.1, 0.98
2020, 10, 16.4, 20.6, 12.6, 109, 16.7, 157.7, 0.12, 1.89, 0.69
2020, 11, 11.4, 15.4, 7.5, 125, 10.5, 203.5, -0.2, 1.62, 0.63
2020, 12, 5.2, 8.5, 2.6, 204, 5.3, 225.9, -1.34, 1.54, 1.13
