 , ,金沢（カナザワ）,日本,緯度:36.58N,経度:136.63E,高度:5 (m),
年,月,月平均気温,月平均最高気温,月平均最低気温,月降水量,月平均気温平年値,月平均降水量平年値,標準化降水指数（3か月）,標準化降水指数（6か月）,標準化降水指数（12か月）
,,(℃),(℃),(℃),(mm),(℃),（mm)
2019, 1, 4.4, 7.7, 1.3, 192, 4.0, 256.0, -2.04, 0.15, 0.27
2019, 2, 5.4, 9.5, 1.9, 93, 4.2, 162.6, -1.71, -0.58, -0.04
2019, 3, 8.5, 13.1, 4.2, 132, 7.3, 157.2, -1.91, -2.31, -0.26
2019, 4, 12.0, 16.2, 7.8, 147, 12.6, 143.9, -1.44, -2.2, -0.37
2019, 5, 19.2, 24.6, 14.2, 84, 17.7, 138.0, -1.02, -1.72, -0.81
2019, 6, 21.8, 25.5, 18.7, 246, 21.6, 170.3, 0, -1.19, -0.36
2019, 7, 25.9, 29.4, 23.2, 127, 25.8, 233.4, -0.65, -1.22, -0.7
2019, 8, 28.2, 32.1, 25.5, 339, 27.3, 179.3, 0.57, 0.08, -0.37
2019, 9, 24.6, 28.8, 21.4, 56, 23.2, 231.9, -0.6, -0.55, -1.83
2019, 10, 18.7, 22.2, 15.6, 287, 17.6, 177.1, 0.42, -0.14, -1.38
2019, 11, 12.1, 16.7, 8.0, 138, 11.9, 250.8, -1.22, -0.35, -1.22
2019, 12, 8.3, 12.5, 4.2, 171, 6.8, 301.1, -1.03, -1.04, -1.46
2020, 1, 6.7, 9.8, 3.9, 234, 4.0, 256.0, -2.11, -1.02, -1.42
2020, 2, 6.3, 10.5, 2.8, 146, 4.2, 162.6, -1.56, -2.14, -1.28
2020, 3, 9.0, 13.4, 4.9, 143, 7.3, 157.2, -0.84, -1.23, -1.22
2020, 4, 11.2, 15.6, 7.4, 175, 12.6, 143.9, -0.29, -1.69, -1.14
2020, 5, 18.5, 23.1, 14.6, 43, 17.7, 138.0, -1.04, -1.62, -1.27
2020, 6, 23.2, 27.6, 19.9, 296, 21.6, 170.3, 0.33, -0.35, -1.11
2020, 7, 24.3, 27.7, 22.1, 445, 25.8, 233.4, 1.15, 0.86, -0.16
2020, 8, 28.9, 32.9, 25.7, 120, 27.3, 179.3, 1.22, 0.7, -0.85
2020, 9, 24.8, 29.2, 21.6, 252, 23.2, 231.9, 0.68, 0.68, -0.2
2020, 10, 17.5, 21.7, 13.8, 117, 17.6, 177.1, -0.68, 0.33, -0.7
2020, 11, 13.0, 17.7, 8.7, 236, 11.9, 250.8, -0.42, 0.59, -0.38
2020, 12, 7.0, 10.6, 3.9, 331, 6.8, 301.1, -0.38, 0.32, 0.06
