 , ,長野（ナガノ）,日本,緯度:36.65N,経度:138.18E,高度:418 (m),
年,月,月平均気温,月平均最高気温,月平均最低気温,月降水量,月平均気温平年値,月平均降水量平年値,標準化降水指数（3か月）,標準化降水指数（6か月）,標準化降水指数（12か月）
,,(℃),(℃),(℃),(mm),(℃),（mm)
2019, 1, -0.6, 4.0, -4.5, 41, -0.4, 54.6, -1.35, -0.2, -0.84
2019, 2, 1.2, 6.5, -3.0, 19, 0.4, 49.1, -1.06, -0.19, -0.86
2019, 3, 5.3, 12.2, -0.1, 78, 4.3, 60.1, -0.44, -1.63, -0.83
2019, 4, 9.7, 16.2, 4.0, 48, 10.6, 56.9, -0.69, -1.41, -1.14
2019, 5, 17.4, 24.8, 10.7, 70, 16.4, 69.3, -0.04, -0.8, -1.19
2019, 6, 20.0, 25.8, 15.6, 150, 20.4, 106.1, -0.02, -0.28, -0.3
2019, 7, 24.0, 29.1, 20.7, 136, 24.3, 137.7, 0.06, -0.25, -0.44
2019, 8, 26.6, 32.1, 22.9, 96, 25.4, 111.8, -0.03, -0.1, -0.29
2019, 9, 22.4, 27.8, 18.5, 26, 21.0, 125.5, -1.25, -1.18, -1.84
2019, 10, 16.4, 21.1, 12.9, 283, 14.4, 100.3, 0.91, 0.72, 0.02
2019, 11, 8.6, 14.4, 3.6, 13, 7.9, 44.4, 1.01, 0.55, 0.07
2019, 12, 3.3, 8.5, -0.9, 49, 2.3, 49.4, 2.4, 0.43, 0.18
2020, 1, 2.8, 7.2, -0.6, 29, -0.4, 54.6, -1.32, 0.37, 0.09
2020, 2, 2.4, 8.1, -2.1, 48, 0.4, 49.1, -0.39, 0.65, 0.35
2020, 3, 6.2, 12.4, 0.7, 89, 4.3, 60.1, 0.32, 2.09, 0.43
2020, 4, 8.6, 15.7, 2.9, 76, 10.6, 56.9, 1.17, -0.12, 0.69
2020, 5, 17.7, 25.0, 12.0, 54, 16.4, 69.3, 0.47, 0, 0.48
2020, 6, 21.8, 27.6, 17.5, 146, 20.4, 106.1, 0.11, 0.18, 0.42
2020, 7, 22.9, 27.1, 20.1, 317, 24.3, 137.7, 1.77, 2.03, 1.76
2020, 8, 27.2, 33.5, 22.8, 13, 25.4, 111.8, 0.94, 1.05, 1.09
2020, 9, 22.7, 27.8, 19.5, 130, 21.0, 125.5, 0.73, 0.68, 1.59
2020, 10, 13.5, 18.4, 9.6, 80, 14.4, 100.3, -1.02, 0.56, 0.36
2020, 11, 8.9, 15.1, 3.8, 14, 7.9, 44.4, -0.32, 0.52, 0.4
2020, 12, 2.0, 6.9, -1.8, 37, 2.3, 49.4, -0.69, 0.33, 0.36
