 , ,前橋（マエバシ）,日本,緯度:36.40N,経度:139.05E,高度:112 (m),
年,月,月平均気温,月平均最高気温,月平均最低気温,月降水量,月平均気温平年値,月平均降水量平年値,標準化降水指数（3か月）,標準化降水指数（6か月）,標準化降水指数（12か月）
,,(℃),(℃),(℃),(mm),(℃),（mm)
2019, 1, 4.0, 9.6, -0.4, 0, 3.7, 29.7, -1.71, -0.68, -0.82
2019, 2, 5.8, 11.2, 1.1, 5, 4.5, 26.5, -1.96, -1.36, -0.93
2019, 3, 9.0, 14.8, 4.1, 71, 7.9, 58.3, -0.77, -1.96, -1.06
2019, 4, 12.8, 18.7, 7.6, 68, 13.4, 74.8, -0.24, -1.2, -0.95
2019, 5, 20.2, 26.4, 14.5, 59, 18.6, 99.4, -0.45, -1.31, -1.21
2019, 6, 21.7, 26.5, 17.9, 202, 22.1, 147.8, 0.02, -0.33, -0.79
2019, 7, 24.3, 28.1, 21.3, 287, 25.8, 202.1, 0.97, 0.68, -0.15
2019, 8, 28.4, 33.3, 24.8, 179, 26.8, 195.6, 1.01, 0.68, -0.21
2019, 9, 24.6, 29.2, 20.9, 76, 22.9, 204.3, -0.09, -0.16, -0.92
2019, 10, 18.9, 23.3, 15.2, 433, 17.1, 142.2, 1.11, 1.47, 0.95
2019, 11, 11.8, 17.1, 7.4, 51, 11.2, 43.0, 1.57, 1.76, 1.13
2019, 12, 7.0, 11.9, 3.0, 19, 6.1, 23.8, 2.68, 1.45, 1.16
2020, 1, 6.1, 11.1, 2.1, 58, 3.7, 29.7, 0.82, 1.21, 1.38
2020, 2, 6.6, 12.0, 2.1, 8, 4.5, 26.5, 0.32, 1.51, 1.46
2020, 3, 9.6, 14.9, 4.7, 88, 7.9, 58.3, 0.92, 2.72, 1.57
2020, 4, 12.1, 17.7, 6.9, 138, 13.4, 74.8, 1.15, 1.39, 1.82
2020, 5, 19.5, 25.1, 14.7, 103, 18.6, 99.4, 1.35, 1.29, 1.95
2020, 6, 23.5, 28.2, 19.5, 192, 22.1, 147.8, 1, 1.2, 1.83
2020, 7, 24.0, 27.4, 21.2, 267, 25.8, 202.1, 1.08, 1.38, 1.77
2020, 8, 29.5, 35.1, 24.9, 65, 26.8, 195.6, 0.01, 0.6, 1.25
2020, 9, 24.0, 28.3, 20.9, 245, 22.9, 204.3, 0.12, 0.62, 1.89
2020, 10, 16.6, 21.3, 13.0, 151, 17.1, 142.2, -0.17, 0.44, 0.84
2020, 11, 12.3, 17.7, 7.8, 4, 11.2, 43.0, 0.42, 0.22, 0.66
2020, 12, 6.3, 12.4, 1.7, 0, 6.1, 23.8, -0.2, -0.06, 0.58
