 , ,水戸（ミト）,日本,緯度:36.37N,経度:140.47E,高度:29 (m),
年,月,月平均気温,月平均最高気温,月平均最低気温,月降水量,月平均気温平年値,月平均降水量平年値,標準化降水指数（3か月）,標準化降水指数（6か月）,標準化降水指数（12か月）
,,(℃),(℃),(℃),(mm),(℃),（mm)
2019, 1, 3.4, 10.1, -2.5, 9, 3.3, 54.5, -1.32, -0.74, -0.65
2019, 2, 5.4, 10.9, 0.2, 52, 4.1, 53.8, -1.01, -0.53, -0.38
2019, 3, 8.7, 14.1, 3.1, 90, 7.4, 102.8, -0.72, -1.69, -0.93
2019, 4, 11.8, 17.4, 6.4, 81, 12.3, 116.7, -0.61, -1.26, -0.99
2019, 5, 18.4, 24.0, 12.9, 100, 17.0, 144.5, -1.18, -1.47, -1.34
2019, 6, 20.7, 24.7, 17.3, 146, 20.3, 135.7, -1, -1.18, -0.98
2019, 7, 23.5, 27.1, 21.0, 123, 24.2, 141.8, -0.5, -0.76, -1.01
2019, 8, 27.3, 31.5, 24.2, 87, 25.6, 116.9, -0.42, -1.11, -1
2019, 9, 23.5, 28.1, 19.9, 133, 22.1, 186.3, -0.58, -1.26, -1.78
2019, 10, 18.3, 22.1, 14.9, 371, 16.6, 185.4, 0.99, 0.41, -0.36
2019, 11, 11.3, 16.8, 6.4, 147, 10.8, 79.7, 2.12, 1.23, 0.1
2019, 12, 6.9, 12.2, 2.3, 54, 5.6, 49.6, 2.45, 1.28, 0.29
2020, 1, 5.6, 10.7, 0.9, 124, 3.3, 54.5, 1.94, 1.8, 0.98
2020, 2, 6.2, 12.1, 0.8, 40, 4.1, 53.8, 0.97, 2.18, 0.95
2020, 3, 9.3, 15.0, 3.7, 113, 7.4, 102.8, 1.16, 2.39, 0.99
2020, 4, 11.4, 16.8, 6.1, 177, 12.3, 116.7, 0.81, 1.81, 1.46
2020, 5, 18.5, 23.5, 14.1, 159, 17.0, 144.5, 1.05, 1.27, 1.6
2020, 6, 22.0, 26.3, 18.6, 216, 20.3, 135.7, 1.18, 1.43, 1.65
2020, 7, 22.9, 26.5, 20.3, 229, 24.2, 141.8, 1.26, 1.37, 2.01
2020, 8, 27.4, 32.2, 23.7, 54, 25.6, 116.9, 0.78, 1.19, 1.94
2020, 9, 23.5, 27.6, 20.5, 120, 22.1, 186.3, -0.07, 0.72, 1.87
2020, 10, 16.3, 20.6, 12.6, 160, 16.6, 185.4, -1.03, 0.27, 1.26
2020, 11, 11.9, 17.7, 6.7, 23, 10.8, 79.7, -1.29, -0.19, 0.72
2020, 12, 5.2, 11.3, 0.2, 10, 5.6, 49.6, -1.2, -0.87, 0.49
