 , ,名古屋（ナゴヤ）,日本,緯度:35.17N,経度:136.95E,高度:51 (m),
年,月,月平均気温,月平均最高気温,月平均最低気温,月降水量,月平均気温平年値,月平均降水量平年値,標準化降水指数（3か月）,標準化降水指数（6か月）,標準化降水指数（12か月）
,,(℃),(℃),(℃),(mm),(℃),（mm)
2019, 1, 5.1, 9.7, 1.2, 15, 4.8, 50.8, -0.78, -0.22, 0.43
2019, 2, 7.2, 12.0, 3.4, 57, 5.5, 64.7, -0.45, -0.19, 0.58
2019, 3, 10.1, 15.4, 5.8, 80, 9.2, 116.2, -1.09, -2.05, 0.1
2019, 4, 14.1, 19.4, 9.6, 118, 14.6, 127.5, -0.76, -1.22, -0.3
2019, 5, 20.4, 26.2, 15.4, 146, 19.4, 150.3, -0.62, -0.86, -0.8
2019, 6, 23.1, 27.7, 19.5, 172, 23.0, 186.5, -0.47, -0.96, -0.89
2019, 7, 25.9, 29.7, 22.9, 284, 26.9, 211.4, 0.29, -0.1, -0.34
2019, 8, 28.9, 33.9, 25.7, 204, 28.2, 139.5, 0.64, 0.22, 0.02
2019, 9, 26.7, 31.6, 23.1, 39, 24.5, 231.6, -0.28, -0.52, -1.36
2019, 10, 20.3, 24.5, 17.1, 357, 18.6, 164.7, 0.55, 0.56, 0.05
2019, 11, 13.4, 18.3, 9.1, 18, 12.6, 79.1, -0.09, 0.36, -0.05
2019, 12, 8.8, 13.0, 5.2, 68, 7.2, 56.6, 1.69, 0.6, -0.02
2020, 1, 7.6, 11.8, 4.1, 56, 4.8, 50.8, -0.4, 0.33, 0.14
2020, 2, 7.1, 11.8, 3.1, 54, 5.5, 64.7, 0.31, -0.02, 0.13
2020, 3, 10.7, 15.9, 6.4, 150, 9.2, 116.2, 0.6, 1.69, 0.4
2020, 4, 13.4, 19.0, 8.6, 111, 14.6, 127.5, 0.07, -0.29, 0.39
2020, 5, 20.6, 25.7, 16.1, 135, 19.4, 150.3, -0.03, 0.1, 0.35
2020, 6, 24.6, 29.3, 21.1, 230, 23.0, 186.5, -0.11, 0.17, 0.58
2020, 7, 25.4, 29.1, 22.9, 406, 26.9, 211.4, 1.25, 1.09, 1.15
2020, 8, 30.3, 35.9, 26.5, 13, 28.2, 139.5, 0.58, 0.43, 0.3
2020, 9, 25.4, 30.0, 22.2, 231, 24.5, 231.6, 0.41, 0.22, 1
2020, 10, 18.0, 22.5, 14.5, 269, 18.6, 164.7, 0.09, 0.9, 0.67
2020, 11, 14.0, 18.9, 9.8, 37, 12.6, 79.1, 0.73, 0.85, 0.74
2020, 12, 7.4, 12.0, 3.6, 22, 7.2, 56.6, 0.73, 0.64, 0.57
