 , ,銚子（チョウシ）,日本,緯度:35.73N,経度:140.85E,高度:20 (m),
年,月,月平均気温,月平均最高気温,月平均最低気温,月降水量,月平均気温平年値,月平均降水量平年値,標準化降水指数（3か月）,標準化降水指数（6か月）,標準化降水指数（12か月）
,,(℃),(℃),(℃),(mm),(℃),（mm)
2019, 1, 6.7, 10.5, 2.6, 35, 6.6, 105.5, -0.19, 0.23, -0.29
2019, 2, 8.7, 12.0, 5.1, 120, 6.9, 90.5, -0.11, 0.42, 0.06
2019, 3, 11.3, 14.4, 7.7, 155, 9.7, 149.1, -0.24, -0.13, -0.05
2019, 4, 13.1, 16.4, 9.7, 150, 13.8, 127.3, 0.55, 0.16, 0.22
2019, 5, 18.6, 22.0, 15.5, 72, 17.4, 135.8, -0.38, -0.38, -0.05
2019, 6, 20.8, 23.6, 18.4, 243, 20.2, 166.2, 0.23, -0.04, 0.21
2019, 7, 23.2, 25.7, 21.5, 283, 23.5, 128.3, 1.19, 1.27, 0.86
2019, 8, 26.6, 29.9, 24.3, 88, 25.5, 94.9, 1.36, 0.94, 0.85
2019, 9, 24.6, 27.2, 22.6, 285, 23.4, 216.3, 1.27, 1.24, 0.72
2019, 10, 20.6, 22.9, 18.3, 428, 19.2, 272.5, 1.23, 1.68, 1.43
2019, 11, 14.9, 17.8, 11.8, 207, 14.4, 133.2, 1.66, 2.04, 1.72
2019, 12, 10.7, 14.2, 7.0, 98, 9.3, 92.9, 1.38, 1.9, 1.62
2020, 1, 8.6, 11.8, 5.4, 129, 6.6, 105.5, 0.95, 1.42, 1.86
2020, 2, 9.0, 12.5, 5.5, 44, 6.9, 90.5, 0.02, 1.39, 1.61
2020, 3, 11.3, 14.5, 7.6, 225, 9.7, 149.1, 0.66, 1.38, 1.78
2020, 4, 13.2, 16.8, 9.3, 184, 13.8, 127.3, 0.8, 1.11, 1.8
2020, 5, 18.7, 21.8, 16.4, 186, 17.4, 135.8, 1.57, 1.04, 2.03
2020, 6, 21.6, 24.4, 19.5, 222, 20.2, 166.2, 1.24, 1.28, 1.99
2020, 7, 22.2, 24.9, 20.3, 317, 23.5, 128.3, 1.93, 2.07, 2.17
2020, 8, 26.8, 30.1, 24.4, 5, 25.5, 94.9, 0.98, 1.65, 1.99
2020, 9, 24.5, 26.9, 22.6, 167, 23.4, 216.3, 0.42, 1.05, 1.71
2020, 10, 18.7, 21.1, 16.1, 232, 19.2, 272.5, -0.9, 0.6, 1.13
2020, 11, 15.3, 18.0, 12.1, 56, 14.4, 133.2, -0.74, 0.07, 0.67
2020, 12, 9.2, 12.3, 5.9, 33, 9.3, 92.9, -0.91, -0.42, 0.4
