 , ,津（ツ）,日本,緯度:34.73N,経度:136.52E,高度:2 (m),
年,月,月平均気温,月平均最高気温,月平均最低気温,月降水量,月平均気温平年値,月平均降水量平年値,標準化降水指数（3か月）,標準化降水指数（6か月）,標準化降水指数（12か月）
,,(℃),(℃),(℃),(mm),(℃),（mm)
2019, 1, 6.0, 9.8, 2.7, 19, 5.7, 48.5, -0.56, -0.05, 0.06
2019, 2, 7.3, 11.1, 4.0, 58, 5.9, 57.1, -0.29, 0.13, 0.22
2019, 3, 9.9, 14.0, 6.0, 85, 9.0, 104.5, -0.81, -2.03, -0.17
2019, 4, 13.6, 18.0, 9.7, 147, 14.2, 129.0, -0.33, -0.6, -0.08
2019, 5, 19.6, 24.0, 15.6, 111, 19.0, 167.3, -0.87, -0.98, -0.4
2019, 6, 22.8, 26.1, 19.7, 191, 22.7, 201.8, -0.71, -1.12, -0.55
2019, 7, 25.5, 28.5, 23.1, 343, 26.8, 173.9, 0.41, 0.22, 0.04
2019, 8, 28.6, 32.1, 25.9, 130, 27.9, 144.5, 0.38, -0.04, -0.03
2019, 9, 26.3, 29.7, 23.3, 80, 24.4, 276.6, -0.22, -0.61, -1.35
2019, 10, 20.4, 23.8, 17.7, 391, 18.8, 186.1, 0.06, 0.26, -0.07
2019, 11, 14.0, 18.1, 10.0, 14, 13.2, 76.4, -0.03, 0.22, -0.25
2019, 12, 9.2, 13.0, 5.7, 63, 8.1, 47.2, 1.59, 0.47, -0.19
2020, 1, 8.3, 11.9, 5.3, 65, 5.7, 48.5, -0.5, -0.13, 0
2020, 2, 7.5, 11.7, 3.8, 44, 5.9, 57.1, 0.31, 0.05, -0.05
2020, 3, 10.4, 14.6, 6.7, 128, 9.0, 104.5, 0.42, 1.55, 0.12
2020, 4, 13.1, 17.8, 9.1, 154, 14.2, 129.0, 0.2, -0.19, 0.15
2020, 5, 20.2, 24.1, 16.5, 144, 19.0, 167.3, 0.17, 0.26, 0.28
2020, 6, 24.3, 27.9, 21.1, 220, 22.7, 201.8, -0.14, 0.01, 0.35
2020, 7, 25.2, 28.0, 23.1, 318, 26.8, 173.9, 0.61, 0.62, 0.26
2020, 8, 29.8, 33.6, 26.6, 96, 27.9, 144.5, 0.23, 0.23, 0.14
2020, 9, 25.0, 28.4, 22.3, 251, 24.4, 276.6, 0.28, 0.11, 0.69
2020, 10, 18.2, 22.1, 15.0, 343, 18.8, 186.1, 0.51, 0.73, 0.63
2020, 11, 14.2, 18.1, 10.3, 20, 13.2, 76.4, 0.78, 0.61, 0.63
2020, 12, 8.4, 12.6, 4.8, 6, 8.1, 47.2, 0.77, 0.53, 0.42
