 , ,御前崎（オマエザキ）,日本,緯度:34.60N,経度:138.20E,高度:44 (m),
年,月,月平均気温,月平均最高気温,月平均最低気温,月降水量,月平均気温平年値,月平均降水量平年値,標準化降水指数（3か月）,標準化降水指数（6か月）,標準化降水指数（12か月）
,,(℃),(℃),(℃),(mm),(℃),（mm)
2019, 1, 7.5, 11.5, 3.9, 19, 6.9, 78.7, -1.05, -0.34, -0.4
2019, 2, 9.7, 13.0, 6.3, 98, 7.5, 105.4, -0.09, 0.24, -0.19
2019, 3, 11.7, 15.6, 7.5, 61, 10.5, 167.5, -1.85, -1.75, -0.6
2019, 4, 14.6, 18.2, 10.8, 218, 14.7, 200.9, -0.71, -1.25, -0.44
2019, 5, 19.4, 23.0, 16.4, 184, 18.6, 213.4, -0.9, -0.95, -0.78
2019, 6, 22.1, 25.1, 19.7, 451, 21.5, 257.0, 1.08, 0.07, -0.43
2019, 7, 24.5, 26.7, 22.7, 462, 25.0, 221.6, 1.7, 1.32, 0.66
2019, 8, 27.7, 30.6, 25.7, 159, 26.7, 146.6, 1.6, 1.1, 1.01
2019, 9, 26.1, 28.9, 23.7, 82, 24.4, 237.5, 0.36, 0.81, -0.12
2019, 10, 21.5, 24.2, 18.9, 483, 19.9, 255.7, 0.52, 1.49, 0.89
2019, 11, 15.8, 19.3, 12.3, 129, 14.8, 134.3, 0.66, 1.56, 1.06
2019, 12, 11.6, 14.9, 8.0, 112, 9.4, 76.2, 1.73, 1.14, 1.01
2020, 1, 9.5, 13.0, 6.3, 75, 6.9, 78.7, 0.35, 0.53, 1.17
2020, 2, 9.2, 13.1, 5.1, 106, 7.5, 105.4, 0.5, 0.75, 1.21
2020, 3, 12.5, 15.9, 8.5, 207, 10.5, 167.5, 0.52, 1.72, 1.56
2020, 4, 14.2, 17.9, 10.2, 142, 14.7, 200.9, 0.03, 0.19, 1.37
2020, 5, 19.5, 22.7, 16.9, 135, 18.6, 213.4, -0.71, -0.34, 1.29
2020, 6, 23.0, 25.6, 20.8, 263, 21.5, 257.0, -0.95, -0.55, 0.79
2020, 7, 24.4, 26.7, 22.5, 589, 25.0, 221.6, 1.28, 1.2, 1.2
2020, 8, 28.4, 31.6, 25.9, 35, 26.7, 146.6, 0.94, 0.49, 0.88
2020, 9, 25.5, 28.3, 23.1, 252, 24.4, 237.5, 0.97, 0.36, 1.23
2020, 10, 19.7, 22.7, 16.7, 229, 19.9, 255.7, -0.46, 0.58, 0.57
2020, 11, 16.1, 19.6, 12.5, 28, 14.8, 134.3, -0.25, 0.51, 0.29
2020, 12, 9.6, 13.4, 6.0, 36, 9.4, 76.2, -0.81, 0.42, 0.07
