 , ,東京（トウキョウ）,日本,緯度:35.69N,経度:139.75E,高度:25 (m),
年,月,月平均気温,月平均最高気温,月平均最低気温,月降水量,月平均気温平年値,月平均降水量平年値,標準化降水指数（3か月）,標準化降水指数（6か月）,標準化降水指数（12か月）
,,(℃),(℃),(℃),(mm),(℃),（mm)
2019, 1, 5.6, 10.3, 1.4, 16, 5.4, 59.7, -0.99, -0.48, -0.34
2019, 2, 7.2, 11.6, 3.3, 42, 6.1, 56.5, -0.92, -0.31, -0.25
2019, 3, 10.6, 15.4, 6.2, 118, 9.4, 116.0, -0.69, -1.44, -0.69
2019, 4, 13.6, 19.0, 9.2, 91, 14.3, 133.7, -0.52, -1.18, -0.77
2019, 5, 20.0, 25.3, 15.3, 121, 18.8, 139.7, -0.47, -1.02, -0.99
2019, 6, 21.8, 25.8, 18.5, 225, 21.9, 167.8, 0.01, -0.34, -0.61
2019, 7, 24.1, 27.5, 21.6, 193, 25.7, 156.2, 0.69, 0.27, -0.28
2019, 8, 28.4, 32.8, 25.2, 110, 26.9, 154.7, 0.49, 0.13, -0.17
2019, 9, 25.1, 29.4, 21.7, 197, 23.3, 224.9, 0.13, 0.03, -0.79
2019, 10, 19.4, 23.3, 16.4, 530, 18.0, 234.8, 1.34, 1.67, 0.94
2019, 11, 13.1, 17.7, 9.3, 157, 12.5, 96.3, 1.95, 1.96, 1.3
2019, 12, 8.5, 12.6, 5.2, 77, 7.7, 57.9, 2.17, 1.75, 1.42
2020, 1, 7.1, 11.1, 3.7, 135, 5.4, 59.7, 1.75, 1.74, 1.74
2020, 2, 8.3, 13.3, 4.0, 15, 6.1, 56.5, 0.85, 1.95, 1.68
2020, 3, 10.7, 16.0, 6.2, 131, 9.4, 116.0, 0.88, 2.3, 1.75
2020, 4, 12.8, 18.2, 7.9, 297, 14.3, 133.7, 1.54, 2.39, 2.39
2020, 5, 19.5, 24.0, 15.6, 118, 18.8, 139.7, 1.56, 1.73, 2.44
2020, 6, 23.2, 27.5, 19.8, 213, 21.9, 167.8, 1.41, 1.52, 2.17
2020, 7, 24.3, 27.7, 21.8, 271, 25.7, 156.2, 1.1, 1.62, 2.35
2020, 8, 29.1, 34.1, 25.3, 62, 26.9, 154.7, 0.59, 1.19, 2.15
2020, 9, 24.2, 28.1, 21.5, 118, 23.3, 224.9, -0.13, 0.7, 1.93
2020, 10, 17.5, 21.4, 14.4, 205, 18.0, 234.8, -0.88, -0.07, 1.12
2020, 11, 14.0, 18.6, 10.1, 15, 12.5, 96.3, -0.97, -0.34, 0.6
2020, 12, 7.7, 12.3, 3.7, 13, 7.7, 57.9, -0.68, -0.69, 0.36
