 , ,大島（オオシマ）,日本,緯度:34.73N,経度:139.35E,高度:74 (m),
年,月,月平均気温,月平均最高気温,月平均最低気温,月降水量,月平均気温平年値,月平均降水量平年値,標準化降水指数（3か月）,標準化降水指数（6か月）,標準化降水指数（12か月）
,,(℃),(℃),(℃),(mm),(℃),（mm)
2019, 1, 8.5, 11.9, 4.7, 35, 7.5, 137.3, -1.05, -0.49, -0.21
2019, 2, 9.4, 12.7, 6.1, 97, 7.8, 146.0, -0.73, -0.21, -0.11
2019, 3, 11.7, 15.5, 7.8, 238, 10.4, 238.4, -0.92, -1.34, -0.3
2019, 4, 14.0, 17.8, 10.5, 231, 14.4, 247.4, -0.35, -0.98, -0.04
2019, 5, 19.1, 23.2, 15.1, 233, 18.2, 256.5, -0.36, -0.79, -0.35
2019, 6, 21.3, 24.7, 18.4, 646, 21.0, 328.8, 0.91, 0.36, -0.06
2019, 7, 23.8, 26.4, 22.1, 447, 24.6, 255.9, 1.53, 1.18, 0.48
2019, 8, 27.3, 30.3, 25.1, 116, 26.0, 191.7, 1.38, 0.99, 0.57
2019, 9, 24.8, 28.0, 22.3, 463, 23.4, 341.3, 0.91, 1.29, 0.2
2019, 10, 20.3, 23.2, 17.6, 939, 18.9, 405.2, 1.82, 2.55, 1.76
2019, 11, 15.0, 18.7, 11.5, 296, 14.5, 192.8, 2.36, 2.68, 1.98
2019, 12, 11.7, 15.0, 8.4, 152, 10.0, 117.6, 2.06, 2.18, 2
2020, 1, 9.7, 12.8, 6.5, 299, 7.5, 137.3, 1.69, 2.15, 2.47
2020, 2, 10.1, 13.6, 6.5, 110, 7.8, 146.0, 1.01, 2.37, 2.48
2020, 3, 12.0, 15.4, 8.3, 376, 10.4, 238.4, 1.69, 2.45, 2.62
2020, 4, 14.0, 17.7, 10.0, 361, 14.4, 247.4, 1.28, 2.05, 2.82
2020, 5, 19.1, 22.5, 16.2, 116, 18.2, 256.5, 0.53, 1.02, 2.78
2020, 6, 22.7, 25.7, 20.1, 355, 21.0, 328.8, -0.11, 0.78, 2.16
2020, 7, 24.5, 27.2, 22.4, 623, 24.6, 255.9, 0.86, 1.31, 2.51
2020, 8, 27.9, 32.1, 24.8, 29, 26.0, 191.7, 0.81, 0.87, 2.29
2020, 9, 24.4, 27.4, 22.1, 285, 23.4, 341.3, 0.63, 0.36, 2.05
2020, 10, 18.3, 21.3, 15.8, 552, 18.9, 405.2, -0.15, 0.5, 1.47
2020, 11, 16.0, 19.4, 12.6, 50, 14.5, 192.8, -0.06, 0.51, 0.93
2020, 12, 10.3, 14.1, 6.8, 42, 10.0, 117.6, -0.13, 0.29, 0.7
