 , ,八丈島（ハチジョウジマ）,日本,緯度:33.12N,経度:139.77E,高度:151 (m),
年,月,月平均気温,月平均最高気温,月平均最低気温,月降水量,月平均気温平年値,月平均降水量平年値,標準化降水指数（3か月）,標準化降水指数（6か月）,標準化降水指数（12か月）
,,(℃),(℃),(℃),(mm),(℃),（mm)
2019, 1, 10.5, 13.3, 7.7, 170, 10.1, 201.7, -0.2, -0.66, -0.49
2019, 2, 12.3, 15.0, 9.7, 264, 10.4, 205.5, 0.3, -0.54, -0.2
2019, 3, 13.4, 16.7, 10.3, 353, 12.5, 296.5, 0.65, -0.31, 0.02
2019, 4, 15.2, 18.6, 12.0, 238, 15.8, 215.2, 0.81, 0.34, 0.19
2019, 5, 19.1, 22.5, 16.3, 275, 18.8, 256.7, 0.55, 0.48, 0.25
2019, 6, 21.7, 24.7, 19.4, 322, 21.3, 390.3, -0.09, 0.34, -0.22
2019, 7, 25.0, 27.4, 23.4, 763, 25.2, 254.1, 2.21, 2.08, 0.77
2019, 8, 27.2, 30.6, 25.1, 34, 26.5, 169.5, 1.33, 1.41, 0.43
2019, 9, 25.6, 28.3, 24.0, 554, 24.5, 360.5, 1.74, 1.58, 0.82
2019, 10, 22.4, 24.9, 20.5, 771, 21.0, 479.1, 1.02, 1.96, 1.66
2019, 11, 17.8, 21.1, 14.7, 343, 16.9, 277.4, 1.69, 1.99, 1.88
2019, 12, 14.4, 17.2, 11.9, 256, 12.7, 200.2, 1.53, 2.11, 2.01
2020, 1, 12.3, 15.0, 9.9, 347, 10.1, 201.7, 1.28, 1.49, 2.35
2020, 2, 11.7, 15.0, 8.8, 157, 10.4, 205.5, 0.95, 1.82, 2.17
2020, 3, 14.0, 17.0, 11.2, 287, 12.5, 296.5, 0.67, 1.43, 1.96
2020, 4, 15.5, 18.9, 12.4, 189, 15.8, 215.2, -0.36, 0.71, 1.92
2020, 5, 19.7, 22.9, 17.0, 251, 18.8, 256.7, -0.18, 0.49, 1.82
2020, 6, 22.8, 25.2, 20.9, 533, 21.3, 390.3, 0.59, 0.81, 2.13
2020, 7, 25.3, 27.1, 23.8, 463, 25.2, 254.1, 1.8, 1.11, 1.75
2020, 8, 27.4, 30.9, 25.1, 141, 26.5, 169.5, 1.39, 1.05, 1.88
2020, 9, 25.4, 28.6, 22.9, 581, 24.5, 360.5, 1.33, 1.51, 1.97
2020, 10, 20.6, 23.3, 18.3, 962, 21.0, 479.1, 1.79, 2.37, 2.18
2020, 11, 17.9, 21.3, 15.1, 136, 16.9, 277.4, 1.72, 2.05, 1.94
2020, 12, 13.1, 15.9, 10.2, 146, 12.7, 200.2, 1.15, 1.59, 1.76
