 , ,西郷（サイゴウ）,日本,緯度:36.20N,経度:133.33E,高度:26 (m),
年,月,月平均気温,月平均最高気温,月平均最低気温,月降水量,月平均気温平年値,月平均降水量平年値,標準化降水指数（3か月）,標準化降水指数（6か月）,標準化降水指数（12か月）
,,(℃),(℃),(℃),(mm),(℃),（mm)
2019, 1, 5.5, 9.5, 1.3, 97, 4.5, 158.3, -1.85, 0.23, 0.55
2019, 2, 5.9, 10.1, 1.9, 98, 4.6, 111.9, -0.93, 0.23, 0.52
2019, 3, 8.7, 13.0, 4.1, 125, 7.3, 125.0, -1.15, -1.16, 0.33
2019, 4, 11.1, 15.8, 5.9, 136, 12.0, 123.5, 0.04, -1.51, 0.15
2019, 5, 17.8, 22.9, 12.1, 42, 16.7, 134.1, -0.68, -1.17, -0.52
2019, 6, 20.1, 24.1, 16.6, 208, 20.4, 165.7, -0.2, -0.8, -0.46
2019, 7, 24.4, 27.4, 22.0, 118, 24.6, 203.9, -0.69, -0.63, -0.39
2019, 8, 26.5, 29.9, 23.6, 202, 26.1, 154.8, 0.17, -0.16, -0.09
2019, 9, 23.7, 27.2, 20.5, 319, 22.2, 234.9, 0.5, 0.27, -0.36
2019, 10, 18.1, 21.6, 14.6, 188, 16.9, 121.6, 1.38, 0.52, -0.29
2019, 11, 12.2, 16.6, 7.7, 60, 11.9, 123.0, 0.87, 0.58, -0.15
2019, 12, 8.5, 12.6, 4.6, 88, 7.1, 159.8, -0.9, 0.05, -0.41
2020, 1, 7.3, 10.8, 4.2, 149, 4.5, 158.3, -1.82, 0.36, -0.21
2020, 2, 6.3, 10.4, 1.9, 111, 4.6, 111.9, -1.15, 0, -0.16
2020, 3, 9.3, 13.2, 4.8, 140, 7.3, 125.0, -0.09, -0.74, -0.12
2020, 4, 11.0, 15.3, 6.1, 216, 12.0, 123.5, 1.31, -0.52, 0.18
2020, 5, 17.2, 21.1, 13.5, 49, 16.7, 134.1, 0.4, -0.5, 0.19
2020, 6, 21.8, 25.6, 18.4, 247, 20.4, 165.7, 0.78, 0.53, 0.3
2020, 7, 22.9, 26.1, 20.4, 334, 24.6, 203.9, 0.79, 1.15, 1.11
2020, 8, 27.4, 31.2, 24.2, 336, 26.1, 154.8, 1.74, 1.67, 1.48
2020, 9, 22.8, 26.2, 19.7, 207, 22.2, 234.9, 1.57, 1.61, 1.12
2020, 10, 16.6, 21.2, 12.7, 58, 16.9, 121.6, 0.82, 1.16, 0.7
2020, 11, 12.8, 17.3, 8.5, 68, 11.9, 123.0, -1.2, 1.26, 0.73
2020, 12, 6.8, 10.7, 3.2, 142, 7.1, 159.8, -1.87, 0.84, 0.89
