 , ,松江（マツエ）,日本,緯度:35.45N,経度:133.05E,高度:16 (m),
年,月,月平均気温,月平均最高気温,月平均最低気温,月降水量,月平均気温平年値,月平均降水量平年値,標準化降水指数（3か月）,標準化降水指数（6か月）,標準化降水指数（12か月）
,,(℃),(℃),(℃),(mm),(℃),（mm)
2019, 1, 5.8, 10.0, 1.8, 72, 4.6, 153.3, -1.88, -0.19, 0.12
2019, 2, 6.4, 10.8, 2.8, 105, 5.0, 118.4, -1.1, 0.13, 0.2
2019, 3, 9.0, 14.0, 4.6, 151, 8.0, 134.0, -1.31, -2.11, -0.02
2019, 4, 12.4, 17.6, 7.4, 115, 13.1, 113.0, -0.12, -1.63, 0.02
2019, 5, 19.2, 25.3, 13.6, 40, 18.0, 130.3, -0.81, -1.38, -0.63
2019, 6, 21.5, 26.4, 17.8, 176, 21.7, 173.0, -0.72, -1.29, -0.86
2019, 7, 25.4, 29.1, 22.7, 126, 25.8, 234.1, -1.1, -1.05, -1.05
2019, 8, 27.6, 31.7, 24.6, 209, 27.1, 129.6, -0.23, -0.51, -0.44
2019, 9, 24.4, 28.8, 21.2, 168, 22.9, 204.1, -0.39, -0.71, -1.58
2019, 10, 18.6, 22.3, 15.2, 154, 17.4, 126.1, 0.38, -0.63, -1.27
2019, 11, 12.5, 17.3, 8.3, 37, 12.0, 121.6, -0.87, -0.74, -1.24
2019, 12, 8.1, 12.6, 4.2, 140, 7.0, 154.5, -0.79, -0.76, -1.32
2020, 1, 7.4, 11.0, 4.3, 122, 4.6, 153.3, -1.64, -0.46, -1.09
2020, 2, 6.4, 11.2, 2.1, 117, 5.0, 118.4, -0.72, -1.09, -1.07
2020, 3, 9.8, 14.6, 5.1, 161, 8.0, 134.0, -0.23, -0.83, -1.03
2020, 4, 11.6, 16.5, 6.9, 219, 13.1, 113.0, 1.57, -0.21, -0.69
2020, 5, 18.4, 23.4, 14.5, 49, 18.0, 130.3, 0.58, -0.05, -0.66
2020, 6, 23.1, 27.4, 19.5, 338, 21.7, 173.0, 1.22, 0.94, -0.13
2020, 7, 24.0, 27.4, 21.7, 402, 25.8, 234.1, 1.07, 1.4, 0.84
2020, 8, 29.1, 34.0, 25.4, 12, 27.1, 129.6, 0.84, 0.94, 0.19
2020, 9, 23.6, 27.7, 20.4, 239, 22.9, 204.1, 0.29, 0.89, 0.43
2020, 10, 17.0, 21.8, 13.2, 92, 17.4, 126.1, -0.86, 0.41, 0.24
2020, 11, 13.0, 17.8, 9.0, 68, 12.0, 121.6, -0.51, 0.46, 0.35
2020, 12, 6.7, 10.8, 3.5, 198, 7.0, 154.5, -0.49, 0.02, 0.54
