 , ,鳥取（トットリ）,日本,緯度:35.48N,経度:134.23E,高度:7 (m),
年,月,月平均気温,月平均最高気温,月平均最低気温,月降水量,月平均気温平年値,月平均降水量平年値,標準化降水指数（3か月）,標準化降水指数（6か月）,標準化降水指数（12か月）
,,(℃),(℃),(℃),(mm),(℃),（mm)
2019, 1, 5.1, 9.3, 1.5, 119, 4.2, 201.2, -0.97, 0.63, 0.77
2019, 2, 6.5, 11.1, 2.5, 96, 4.7, 154.0, -1.06, 0.8, 0.77
2019, 3, 8.9, 14.3, 4.0, 149, 7.9, 144.3, -1.39, -1.43, 0.64
2019, 4, 12.4, 17.8, 7.1, 120, 13.2, 102.2, -0.65, -1.09, 0.71
2019, 5, 19.1, 26.1, 12.7, 51, 18.1, 123.0, -0.5, -1.14, 0.34
2019, 6, 21.9, 27.0, 17.8, 168, 22.0, 146.0, -0.4, -1.22, 0.5
2019, 7, 25.8, 30.3, 22.6, 155, 26.2, 188.6, -0.64, -0.83, -0.09
2019, 8, 28.2, 33.6, 24.2, 133, 27.3, 128.6, -0.14, -0.4, 0.28
2019, 9, 24.6, 29.7, 20.6, 79, 22.9, 225.4, -1.1, -1.12, -1.73
2019, 10, 18.5, 22.9, 14.8, 215, 17.2, 153.6, -0.49, -0.85, -1.33
2019, 11, 12.2, 17.7, 7.5, 88, 11.9, 145.9, -1.07, -0.93, -1.38
2019, 12, 8.2, 12.3, 4.2, 167, 6.8, 218.4, -0.17, -1.07, -1.62
2020, 1, 7.4, 11.4, 3.9, 118, 4.2, 201.2, -1.86, -1.39, -1.64
2020, 2, 6.6, 11.2, 2.3, 120, 4.7, 154.0, -1.46, -1.69, -1.5
2020, 3, 9.7, 15.1, 4.5, 149, 7.9, 144.3, -1.12, -0.9, -1.42
2020, 4, 11.6, 17.1, 6.4, 220, 13.2, 102.2, 1.1, -0.72, -1.05
2020, 5, 18.7, 24.1, 14.0, 75, 18.1, 123.0, 0.88, -0.5, -1.01
2020, 6, 23.3, 28.5, 18.7, 288, 22.0, 146.0, 1.6, 0.55, -0.51
2020, 7, 24.6, 28.4, 21.7, 273, 26.2, 188.6, 1.01, 1.23, -0.1
2020, 8, 29.3, 35.0, 25.0, 9, 27.3, 128.6, 0.59, 0.86, -0.57
2020, 9, 23.9, 29.0, 20.2, 262, 22.9, 225.4, -0.02, 0.76, 0.1
2020, 10, 16.8, 21.8, 12.7, 111, 17.2, 153.6, -0.82, 0.16, -0.28
2020, 11, 13.0, 18.1, 8.4, 115, 11.9, 145.9, -0.26, 0.19, -0.17
2020, 12, 6.1, 10.6, 2.8, 360, 6.8, 218.4, 0.77, 0.34, 0.54
