 , ,舞鶴（マイヅル）,日本,緯度:35.45N,経度:135.32E,高度:2 (m),
年,月,月平均気温,月平均最高気温,月平均最低気温,月降水量,月平均気温平年値,月平均降水量平年値,標準化降水指数（3か月）,標準化降水指数（6か月）,標準化降水指数（12か月）
,,(℃),(℃),(℃),(mm),(℃),（mm)
2019, 1, 4.2, 8.4, 0.9, 120, 3.7, 183.4, -0.78, 0.74, 1.86
2019, 2, 5.9, 10.0, 2.2, 85, 4.1, 146.6, -0.52, 0.36, 1.9
2019, 3, 8.1, 13.5, 3.3, 133, 7.4, 140.5, -0.85, -1.05, 1.55
2019, 4, 11.8, 17.1, 6.7, 115, 12.7, 116.6, -0.61, -0.87, 1.55
2019, 5, 18.6, 25.7, 12.2, 73, 17.8, 142.8, -0.52, -0.78, 1.26
2019, 6, 21.7, 26.7, 17.7, 166, 21.6, 154.9, -0.41, -1.14, 1.29
2019, 7, 25.2, 29.7, 22.2, 222, 25.9, 192.6, 0.04, -0.31, 0.35
2019, 8, 28.0, 33.2, 24.2, 121, 27.1, 149.6, 0.19, -0.15, 0.07
2019, 9, 24.4, 29.3, 20.9, 71, 22.9, 238.3, -0.94, -0.9, -1.48
2019, 10, 18.4, 22.3, 15.1, 272, 17.0, 179.9, -0.49, -0.4, -0.89
2019, 11, 11.6, 16.7, 7.1, 79, 11.3, 132.5, -0.8, -0.49, -0.86
2019, 12, 7.3, 11.1, 4.0, 75, 6.2, 163.6, -0.2, -0.94, -1.32
2020, 1, 6.8, 10.8, 3.7, 116, 3.7, 183.4, -1.8, -1.47, -1.3
2020, 2, 5.8, 10.6, 1.8, 109, 4.1, 146.6, -1.29, -1.48, -1.11
2020, 3, 9.1, 14.5, 4.1, 93, 7.4, 140.5, -1.06, -0.77, -1.23
2020, 4, 11.2, 17.0, 5.9, 203, 12.7, 116.6, 0.42, -1.01, -0.96
2020, 5, 18.3, 24.3, 13.6, 151, 17.8, 142.8, 0.68, -0.5, -0.76
2020, 6, 23.1, 28.2, 18.8, 215, 21.6, 154.9, 1.37, 0.35, -0.67
2020, 7, 24.3, 28.2, 21.6, 312, 25.9, 192.6, 1.41, 1.43, -0.27
2020, 8, 28.7, 34.5, 24.5, 85, 27.1, 149.6, 0.84, 0.99, -0.37
2020, 9, 23.9, 28.6, 20.3, 364, 22.9, 238.3, 1.05, 1.4, 0.6
2020, 10, 16.6, 21.3, 13.0, 66, 17.0, 179.9, -0.2, 0.65, 0.01
2020, 11, 12.2, 17.6, 7.9, 86, 11.3, 132.5, -0.14, 0.43, 0.03
2020, 12, 5.5, 10.2, 2.4, 188, 6.2, 163.6, -0.95, 0.34, 0.46
