 , ,広島（ヒロシマ）,日本,緯度:34.40N,経度:132.47E,高度:3 (m),
年,月,月平均気温,月平均最高気温,月平均最低気温,月降水量,月平均気温平年値,月平均降水量平年値,標準化降水指数（3か月）,標準化降水指数（6か月）,標準化降水指数（12か月）
,,(℃),(℃),(℃),(mm),(℃),（mm)
2019, 1, 6.4, 11.2, 2.6, 27, 5.4, 46.2, -0.1, 0.18, 0.88
2019, 2, 7.6, 11.8, 4.0, 69, 6.2, 64.0, 0.46, 0.71, 1.01
2019, 3, 10.6, 15.5, 6.3, 102, 9.5, 118.3, -0.41, -0.82, 0.66
2019, 4, 14.8, 19.7, 10.4, 110, 14.8, 141.0, -0.65, -0.63, 0.56
2019, 5, 20.5, 25.6, 15.4, 64, 19.6, 169.8, -1.46, -1.03, 0.13
2019, 6, 23.2, 27.6, 19.5, 153, 23.2, 226.5, -1.59, -1.61, -0.02
2019, 7, 26.4, 29.8, 23.7, 260, 27.2, 279.8, -0.95, -1.12, -0.86
2019, 8, 28.5, 32.1, 25.6, 318, 28.5, 131.4, 0.48, -0.24, 0.06
2019, 9, 26.3, 30.7, 22.9, 89, 24.7, 162.7, 0.54, -0.54, -0.77
2019, 10, 20.3, 25.0, 16.5, 106, 18.8, 109.2, 0.71, -0.32, -0.56
2019, 11, 13.5, 18.6, 9.1, 5, 12.9, 69.3, -1.48, -0.28, -0.67
2019, 12, 8.6, 12.9, 5.3, 82, 7.5, 54.0, -0.24, 0.35, -0.72
2020, 1, 8.1, 12.2, 4.9, 87, 5.4, 46.2, 0.21, 0.63, -0.47
2020, 2, 7.8, 12.7, 3.9, 61, 6.2, 64.0, 1.22, -0.74, -0.54
2020, 3, 11.0, 16.1, 6.6, 170, 9.5, 118.3, 1.16, 0.52, -0.28
2020, 4, 13.2, 18.3, 8.4, 154, 14.8, 141.0, 0.46, 0.43, -0.12
2020, 5, 20.3, 24.9, 16.2, 131, 19.6, 169.8, 0.28, 0.73, 0.1
2020, 6, 24.2, 28.1, 20.8, 355, 23.2, 226.5, 0.41, 0.79, 0.67
2020, 7, 25.2, 28.3, 23.0, 769, 27.2, 279.8, 2.2, 2.1, 1.98
2020, 8, 29.9, 34.5, 26.4, 2, 28.5, 131.4, 2.02, 1.78, 1.16
2020, 9, 25.0, 29.6, 21.7, 146, 24.7, 162.7, 1.54, 1.4, 1.33
2020, 10, 18.7, 23.7, 14.9, 91, 18.8, 109.2, -1.14, 1.4, 1.36
2020, 11, 14.2, 19.1, 9.9, 25, 12.9, 69.3, -0.8, 1.45, 1.41
2020, 12, 7.2, 12.1, 3.6, 39, 7.5, 54.0, -0.75, 1.18, 1.33
