 , ,大阪（オオサカ）,日本,緯度:34.68N,経度:135.52E,高度:23 (m),
年,月,月平均気温,月平均最高気温,月平均最低気温,月降水量,月平均気温平年値,月平均降水量平年値,標準化降水指数（3か月）,標準化降水指数（6か月）,標準化降水指数（12か月）
,,(℃),(℃),(℃),(mm),(℃),（mm)
2019, 1, 6.5, 10.1, 3.2, 23, 6.2, 47.0, -0.59, 0.14, 1.12
2019, 2, 7.8, 11.4, 4.5, 43, 6.6, 60.5, -0.19, 0.48, 1.18
2019, 3, 10.6, 14.8, 6.8, 75, 9.9, 103.1, -1.16, -2.02, 0.96
2019, 4, 14.6, 19.7, 10.3, 87, 15.2, 101.9, -1.05, -1.27, 0.76
2019, 5, 21.0, 26.4, 16.3, 89, 20.1, 136.5, -1.24, -1.17, 0.17
2019, 6, 23.7, 28.4, 20.3, 114, 23.6, 185.1, -1.49, -1.9, -0.2
2019, 7, 26.5, 30.5, 23.7, 202, 27.7, 174.4, -0.65, -1.06, -0.83
2019, 8, 29.1, 33.7, 26.2, 234, 29.0, 113.0, 0.52, -0.17, 0.1
2019, 9, 26.6, 31.2, 23.2, 81, 25.2, 152.8, 0.51, -0.43, -1.2
2019, 10, 20.7, 24.8, 17.5, 214, 19.5, 136.0, 1, 0.2, -0.36
2019, 11, 14.2, 18.6, 10.2, 2, 13.8, 72.5, -0.41, 0.12, -0.46
2019, 12, 9.5, 13.2, 6.0, 58, 8.7, 55.5, 0.54, 0.65, -0.53
2020, 1, 8.6, 11.9, 5.8, 61, 6.2, 47.0, -0.69, 0.67, -0.36
2020, 2, 8.0, 11.9, 4.7, 64, 6.6, 60.5, 0.58, -0.15, -0.27
2020, 3, 11.4, 15.6, 7.7, 101, 9.9, 103.1, 0.3, 0.57, -0.16
2020, 4, 13.7, 18.1, 9.7, 117, 15.2, 101.9, 0.03, -0.44, -0.03
2020, 5, 20.8, 25.7, 16.8, 97, 20.1, 136.5, -0.45, -0.12, 0
2020, 6, 24.9, 29.1, 21.4, 186, 23.6, 185.1, -0.42, -0.28, 0.34
2020, 7, 26.0, 29.6, 23.4, 413, 27.7, 174.4, 1.11, 0.96, 1.24
2020, 8, 30.7, 35.7, 27.1, 115, 29.0, 113.0, 1.42, 0.95, 0.71
2020, 9, 25.8, 30.0, 22.8, 98, 25.2, 152.8, 1.08, 0.6, 0.73
2020, 10, 18.7, 22.9, 15.1, 205, 19.5, 136.0, 0.31, 1.04, 0.71
2020, 11, 14.7, 19.0, 10.9, 47, 13.8, 72.5, 0.06, 1.18, 0.87
2020, 12, 8.7, 12.5, 5.1, 19, 8.7, 55.5, 0.51, 1.17, 0.71
