 , ,潮岬（シオノミサキ）,日本,緯度:33.45N,経度:135.76E,高度:68 (m),
年,月,月平均気温,月平均最高気温,月平均最低気温,月降水量,月平均気温平年値,月平均降水量平年値,標準化降水指数（3か月）,標準化降水指数（6か月）,標準化降水指数（12か月）
,,(℃),(℃),(℃),(mm),(℃),（mm)
2019, 1, 8.7, 11.8, 5.7, 24, 8.3, 97.7, -1.7, 0.72, -0.07
2019, 2, 10.4, 13.7, 7.0, 201, 8.8, 118.1, -0.08, 0.89, 0.13
2019, 3, 12.0, 15.4, 8.5, 141, 11.6, 185.5, -0.12, -1.49, 0.04
2019, 4, 14.9, 18.4, 11.8, 258, 15.6, 212.3, 0.55, -0.49, 0.34
2019, 5, 19.5, 22.8, 16.4, 205, 19.3, 236.7, -0.32, -0.35, 0.28
2019, 6, 22.2, 25.0, 19.7, 186, 22.1, 364.7, -1.08, -0.97, -0.11
2019, 7, 24.5, 26.8, 22.8, 730, 25.7, 298.4, 0.87, 0.92, 1.06
2019, 8, 26.9, 29.4, 25.1, 277, 26.9, 260.3, 1.01, 0.62, 0.95
2019, 9, 25.6, 28.5, 23.2, 288, 24.6, 339.2, 1.39, 0.58, -0.23
2019, 10, 21.7, 24.6, 19.5, 577, 20.3, 286.6, 1.11, 1.29, 0.76
2019, 11, 16.0, 19.5, 12.7, 99, 15.5, 152.0, 0.94, 1.26, 0.83
2019, 12, 12.1, 15.1, 8.9, 157, 10.6, 102.9, 1.44, 1.89, 0.99
2020, 1, 10.2, 13.2, 7.3, 196, 8.3, 97.7, 0.6, 1.18, 1.35
2020, 2, 10.0, 13.3, 6.4, 146, 8.8, 118.1, 1.36, 1.36, 1.25
2020, 3, 12.7, 16.0, 9.5, 181, 11.6, 185.5, 1.05, 1.65, 1.33
2020, 4, 14.7, 18.1, 11.3, 181, 15.6, 212.3, -0.04, 0.32, 1.17
2020, 5, 19.8, 22.9, 17.0, 195, 19.3, 236.7, -0.63, 0.38, 1.13
2020, 6, 22.9, 25.5, 20.8, 335, 22.1, 364.7, -0.72, -0.04, 1.42
2020, 7, 24.5, 26.7, 22.7, 520, 25.7, 298.4, 0.6, 0.42, 1.06
2020, 8, 28.3, 31.6, 25.9, 16, 26.9, 260.3, -0.11, -0.44, 0.51
2020, 9, 24.9, 27.8, 22.6, 467, 24.6, 339.2, 0.52, -0.02, 0.82
2020, 10, 19.6, 23.0, 16.7, 380, 20.3, 286.6, 0.17, 0.45, 0.45
2020, 11, 16.7, 19.8, 13.7, 81, 15.5, 152.0, 0.8, 0.38, 0.42
2020, 12, 10.6, 13.9, 7.6, 23, 10.6, 102.9, -0.14, 0.31, 0.16
