 , ,厳原（イズハラ）,日本,緯度:34.20N,経度:129.30E,高度:3 (m),
年,月,月平均気温,月平均最高気温,月平均最低気温,月降水量,月平均気温平年値,月平均降水量平年値,標準化降水指数（3か月）,標準化降水指数（6か月）,標準化降水指数（12か月）
,,(℃),(℃),(℃),(mm),(℃),（mm)
2019, 1, 6.7, 10.6, 3.0, 34, 6.0, 80.1, -0.09, 0.34, 1.27
2019, 2, 8.2, 11.7, 4.4, 100, 6.9, 94.7, 0.42, 1.26, 1.27
2019, 3, 11.0, 14.9, 7.0, 181, 10.0, 172.3, 0.05, 0.26, 1.04
2019, 4, 14.0, 18.0, 10.4, 140, 14.2, 218.4, -0.2, -0.26, 0.68
2019, 5, 19.8, 24.8, 15.2, 126, 18.2, 241.2, -0.64, -0.41, 0.08
2019, 6, 21.4, 25.5, 18.4, 320, 21.3, 294.4, -0.53, -0.51, -0.32
2019, 7, 24.8, 27.7, 23.0, 549, 25.4, 370.5, 0.43, 0.26, 0.34
2019, 8, 26.9, 30.3, 24.3, 344, 26.8, 326.4, 0.81, 0.39, 0.87
2019, 9, 24.0, 27.1, 21.5, 637, 23.4, 235.5, 1.82, 1.14, 1.1
2019, 10, 19.6, 22.8, 16.7, 124, 18.7, 120.8, 1.86, 1.34, 1.09
2019, 11, 14.1, 18.5, 10.0, 58, 13.3, 100.6, 1.72, 1.53, 1.09
2019, 12, 9.2, 13.0, 5.6, 114, 8.0, 68.0, 0.26, 1.72, 1.06
2020, 1, 8.5, 11.6, 5.4, 224, 6.0, 80.1, 1.45, 2.17, 1.4
2020, 2, 8.5, 12.7, 4.5, 134, 6.9, 94.7, 1.95, 2.38, 1.46
2020, 3, 11.7, 15.4, 8.0, 175, 10.0, 172.3, 1.64, 1.4, 1.58
2020, 4, 13.4, 17.5, 9.3, 136, 14.2, 218.4, -0.02, 0.77, 1.56
2020, 5, 18.6, 22.5, 15.5, 183, 18.2, 241.2, -0.37, 0.67, 1.66
2020, 6, 22.6, 26.5, 19.6, 538, 21.3, 294.4, 0.53, 1.09, 1.96
2020, 7, 23.6, 26.3, 21.6, 1014, 25.4, 370.5, 2.07, 1.87, 2.57
2020, 8, 28.3, 31.7, 25.9, 152, 26.8, 326.4, 1.84, 1.43, 2.33
2020, 9, 22.9, 26.1, 20.3, , 23.4, 235.5, , , 
2020, 10, 18.1, 21.9, 14.7, 52, 18.7, 120.8, , , 
2020, 11, 13.8, 17.5, 10.1, 32, 13.3, 100.6, , , 
2020, 12, 6.7, 10.6, 2.7, 36, 8.0, 68.0, -1.59, , 
