 , ,福岡（フクオカ）,日本,緯度:33.57N,経度:130.37E,高度:2 (m),
年,月,月平均気温,月平均最高気温,月平均最低気温,月降水量,月平均気温平年値,月平均降水量平年値,標準化降水指数（3か月）,標準化降水指数（6か月）,標準化降水指数（12か月）
,,(℃),(℃),(℃),(mm),(℃),（mm)
2019, 1, 8.0, 11.7, 4.4, 55, 6.9, 74.4, -0.89, -1.28, -0.18
2019, 2, 9.4, 13.3, 6.3, 42, 7.8, 69.8, -0.74, -0.95, -0.22
2019, 3, 11.9, 16.1, 8.3, 100, 10.8, 103.7, -0.8, -1.3, -0.38
2019, 4, 15.4, 19.8, 11.9, 103, 15.4, 118.2, -0.74, -1.15, -0.23
2019, 5, 21.1, 26.4, 16.7, 42, 19.9, 133.7, -1.21, -1.46, -0.54
2019, 6, 23.4, 27.8, 20.2, 94, 23.3, 249.6, -1.73, -1.86, -1.09
2019, 7, 26.4, 29.9, 24.0, 296, 27.4, 299.1, -1.07, -1.25, -1.84
2019, 8, 28.0, 31.9, 25.2, 497, 28.4, 210.0, 0.64, 0.18, -0.27
2019, 9, 25.9, 29.9, 23.0, 136, 24.7, 175.1, 1.06, 0.04, -0.36
2019, 10, 20.5, 24.4, 17.3, 137, 19.6, 94.5, 1.57, 0.25, -0.12
2019, 11, 14.9, 19.4, 11.0, 30, 14.2, 91.4, -0.41, 0.39, -0.14
2019, 12, 10.3, 14.1, 6.9, 80, 9.1, 67.5, 0.18, 1.01, -0.11
2020, 1, 9.5, 12.7, 6.8, 154, 6.9, 74.4, 0.65, 1.59, 0.18
2020, 2, 9.7, 13.8, 6.1, 65, 7.8, 69.8, 1.36, 0.29, 0.25
2020, 3, 12.4, 16.5, 8.7, 158, 10.8, 103.7, 1.77, 1.23, 0.41
2020, 4, 14.1, 18.4, 10.4, 83, 15.4, 118.2, 0.1, 0.46, 0.35
2020, 5, 20.4, 24.7, 16.9, 148, 19.9, 133.7, 0.26, 0.84, 0.65
2020, 6, 24.9, 29.2, 21.8, 375, 23.3, 249.6, 0.48, 0.96, 1.34
2020, 7, 25.5, 28.9, 23.2, 740, 27.4, 299.1, 2.01, 1.96, 2.48
2020, 8, 30.2, 34.5, 27.0, 49, 28.4, 210.0, 1.42, 1.36, 1.43
2020, 9, 24.5, 28.4, 21.4, 311, 24.7, 175.1, 1.55, 1.5, 1.71
2020, 10, 19.4, 23.6, 15.8, 65, 19.6, 94.5, -0.11, 1.52, 1.54
2020, 11, 15.3, 19.5, 11.7, 25, 14.2, 91.4, 0.43, 1.42, 1.5
2020, 12, 8.5, 12.3, 5.2, 43, 9.1, 67.5, -1.41, 1.17, 1.43
