 , ,大分（オオイタ）,日本,緯度:33.23N,経度:131.62E,高度:4 (m),
年,月,月平均気温,月平均最高気温,月平均最低気温,月降水量,月平均気温平年値,月平均降水量平年値,標準化降水指数（3か月）,標準化降水指数（6か月）,標準化降水指数（12か月）
,,(℃),(℃),(℃),(mm),(℃),（mm)
2019, 1, 7.7, 12.3, 3.3, 36, 6.5, 49.8, -0.03, 0.16, -0.04
2019, 2, 8.7, 12.8, 4.8, 87, 7.2, 64.1, 0.56, 0.76, 0.08
2019, 3, 11.5, 15.9, 7.2, 189, 10.2, 99.2, 1.3, 0.44, 0.19
2019, 4, 14.8, 19.2, 10.6, 84, 14.8, 119.7, 0.79, 0.53, 0.27
2019, 5, 20.0, 25.2, 15.3, 69, 19.3, 133.6, -0.25, 0.01, 0.14
2019, 6, 22.9, 26.9, 19.7, 237, 22.6, 313.6, -1.01, -0.38, 0
2019, 7, 25.7, 29.3, 23.1, 353, 26.8, 261.3, -0.07, 0.18, 0.18
2019, 8, 27.2, 31.1, 24.1, 382, 27.7, 165.7, 1.07, 0.84, 1.13
2019, 9, 25.5, 29.4, 22.3, 98, 24.2, 255.2, 0.69, 0.03, 0.16
2019, 10, 20.8, 24.7, 17.3, 108, 19.1, 144.8, 0.29, 0.09, 0.22
2019, 11, 14.3, 19.0, 10.0, 19, 13.8, 72.9, -1.05, 0.19, 0.15
2019, 12, 9.9, 14.2, 5.7, 93, 8.7, 47.1, -0.05, 0.53, 0.22
2020, 1, 9.1, 12.9, 5.4, 95, 6.5, 49.8, 0.79, 0.42, 0.38
2020, 2, 8.7, 13.2, 4.5, 65, 7.2, 64.1, 1.36, -0.43, 0.33
2020, 3, 11.5, 16.0, 7.3, 82, 10.2, 99.2, 0.46, 0.12, 0.04
2020, 4, 14.0, 18.8, 9.2, 59, 14.8, 119.7, -1.17, -0.28, -0.02
2020, 5, 20.2, 24.7, 16.1, 198, 19.3, 133.6, -0.28, 0.56, 0.31
2020, 6, 24.0, 28.2, 20.6, 266, 22.6, 313.6, -0.18, -0.05, 0.39
2020, 7, 25.1, 28.7, 22.6, 631, 26.8, 261.3, 1.7, 1.31, 1.17
2020, 8, 29.3, 34.2, 25.8, 33, 27.7, 165.7, 0.92, 0.69, 0.22
2020, 9, 24.5, 28.4, 21.4, 260, 24.2, 255.2, 0.96, 0.7, 0.64
2020, 10, 19.1, 23.3, 15.2, 108, 19.1, 144.8, -0.47, 0.76, 0.65
2020, 11, 14.8, 19.4, 10.3, 45, 13.8, 72.9, 0.01, 0.59, 0.71
2020, 12, 7.9, 12.7, 3.4, 20, 8.7, 47.1, -0.51, 0.65, 0.5
