 , ,長崎（ナガサキ）,日本,緯度:32.73N,経度:129.87E,高度:26 (m),
年,月,月平均気温,月平均最高気温,月平均最低気温,月降水量,月平均気温平年値,月平均降水量平年値,標準化降水指数（3か月）,標準化降水指数（6か月）,標準化降水指数（12か月）
,,(℃),(℃),(℃),(mm),(℃),（mm)
2019, 1, 8.1, 11.8, 4.5, 27, 7.2, 63.1, -0.16, -0.96, -0.36
2019, 2, 9.4, 13.2, 6.0, 87, 8.1, 84.0, 0.24, -0.13, -0.36
2019, 3, 11.9, 15.8, 8.1, 130, 11.2, 123.2, -0.36, -0.41, -0.51
2019, 4, 15.8, 19.9, 12.2, 88, 15.6, 153.0, -0.76, -0.71, -0.65
2019, 5, 20.2, 25.0, 16.1, 101, 19.7, 160.7, -1.39, -1.01, -0.8
2019, 6, 23.0, 26.8, 20.1, 163, 23.0, 335.9, -1.95, -1.9, -1.15
2019, 7, 25.8, 28.9, 23.6, 455, 26.9, 292.7, -0.29, -0.57, -1.1
2019, 8, 27.7, 31.1, 25.0, 337, 28.1, 217.9, 0.43, -0.07, -0.19
2019, 9, 26.0, 30.2, 23.1, 117, 24.9, 186.6, 0.7, -0.33, -0.47
2019, 10, 20.9, 24.9, 17.7, 123, 20.0, 102.1, 0.47, -0.03, -0.28
2019, 11, 15.1, 19.7, 11.2, 42, 14.5, 100.7, -0.7, 0.07, -0.32
2019, 12, 10.6, 14.5, 7.1, 120, 9.4, 74.8, 0.36, 0.72, -0.34
2020, 1, 9.7, 13.3, 6.8, 116, 7.2, 63.1, 0.74, 0.65, -0.1
2020, 2, 9.8, 14.0, 6.1, 104, 8.1, 84.0, 1.57, 0.09, -0.05
2020, 3, 12.3, 16.2, 8.5, 122, 11.2, 123.2, 0.87, 0.78, -0.07
2020, 4, 14.0, 18.3, 9.9, 88, 15.6, 153.0, -0.65, -0.08, -0.06
2020, 5, 20.2, 24.5, 16.8, 149, 19.7, 160.7, -0.98, 0.02, 0.06
2020, 6, 24.1, 27.5, 21.3, 439, 23.0, 335.9, 0.01, 0.28, 0.7
2020, 7, 25.5, 28.4, 23.2, 863, 26.9, 292.7, 1.81, 1.63, 1.77
2020, 8, 28.8, 32.8, 25.9, 141, 28.1, 217.9, 1.63, 1.3, 1.25
2020, 9, 24.3, 28.1, 21.3, 470, 24.9, 186.6, 2.01, 1.74, 1.86
2020, 10, 19.6, 24.1, 15.9, 61, 20.0, 102.1, 0.88, 1.79, 1.75
2020, 11, 15.3, 19.5, 11.5, 118, 14.5, 100.7, 1.54, 1.99, 1.86
2020, 12, 8.5, 12.6, 4.7, 41, 9.4, 74.8, -0.32, 1.94, 1.72
