 , ,鹿児島（カゴシマ）,日本,緯度:31.55N,経度:130.53E,高度:3 (m),
年,月,月平均気温,月平均最高気温,月平均最低気温,月降水量,月平均気温平年値,月平均降水量平年値,標準化降水指数（3か月）,標準化降水指数（6か月）,標準化降水指数（12か月）
,,(℃),(℃),(℃),(mm),(℃),（mm)
2019, 1, 9.6, 14.6, 5.5, 35, 8.7, 78.3, 1.17, 0.26, 0
2019, 2, 11.3, 15.5, 7.7, 158, 9.9, 112.7, 1.45, 1.3, 0.13
2019, 3, 13.6, 18.3, 9.7, 169, 12.8, 161.0, 0.14, 0.74, 0.16
2019, 4, 17.5, 22.5, 13.5, 130, 17.1, 194.9, -0.16, 0.49, 0.19
2019, 5, 21.3, 26.2, 17.1, 133, 21.0, 205.2, -1.1, -0.06, -0.27
2019, 6, 24.0, 27.5, 21.3, 254, 24.0, 570.0, -1.84, -1.53, -0.49
2019, 7, 27.2, 30.6, 24.7, 1006, 28.1, 365.1, 0.95, 0.76, 0.8
2019, 8, 28.8, 32.1, 26.3, 186, 28.8, 224.3, 1.08, 0.54, 1.04
2019, 9, 27.8, 31.7, 25.1, 87, 26.3, 222.9, 1.55, 0.23, 0.44
2019, 10, 23.0, 27.1, 19.9, 101, 21.6, 104.6, -0.82, 0.42, 0.53
2019, 11, 17.0, 21.9, 13.0, 74, 16.2, 102.5, -1.04, 0.66, 0.5
2019, 12, 12.1, 16.2, 8.2, 141, 10.9, 93.2, 0.43, 1.67, 0.27
2020, 1, 11.1, 15.6, 7.5, 87, 8.7, 78.3, 0.53, -0.59, 0.4
2020, 2, 11.4, 16.2, 7.0, 161, 9.9, 112.7, 1.08, -0.18, 0.41
2020, 3, 14.0, 18.5, 10.1, 138, 12.8, 161.0, 0.35, 0.46, 0.35
2020, 4, 15.7, 21.1, 11.1, 111, 17.1, 194.9, -0.5, -0.14, 0.32
2020, 5, 21.7, 26.2, 18.4, 269, 21.0, 205.2, -0.54, 0.12, 0.61
2020, 6, 25.0, 28.5, 22.3, 796, 24.0, 570.0, 0.83, 0.83, 1.71
2020, 7, 26.8, 30.4, 24.2, 713, 28.1, 365.1, 1.8, 1.5, 1.16
2020, 8, 29.8, 34.2, 26.7, 167, 28.8, 224.3, 1.55, 1.18, 1.07
2020, 9, 25.6, 29.1, 22.5, 338, 26.3, 222.9, 1.4, 1.39, 1.43
2020, 10, 21.4, 26.0, 17.4, 76, 21.6, 104.6, 0.31, 1.56, 1.38
2020, 11, 17.2, 21.7, 13.2, 96, 16.2, 102.5, 0.64, 1.65, 1.44
2020, 12, 10.3, 15.2, 6.1, 29, 10.9, 93.2, -0.71, 1.2, 1.24
