 , ,宮崎（ミヤザキ）,日本,緯度:31.93N,経度:131.40E,高度:9 (m),
年,月,月平均気温,月平均最高気温,月平均最低気温,月降水量,月平均気温平年値,月平均降水量平年値,標準化降水指数（3か月）,標準化降水指数（6か月）,標準化降水指数（12か月）
,,(℃),(℃),(℃),(mm),(℃),（mm)
2019, 1, 9.1, 14.8, 4.2, 32, 7.8, 72.7, -0.04, 0.83, 1.22
2019, 2, 10.5, 15.0, 6.7, 156, 8.9, 95.8, 0.77, 0.92, 1.33
2019, 3, 12.9, 18.1, 8.2, 213, 12.1, 155.7, 0.8, 0.55, 1.4
2019, 4, 16.6, 20.9, 12.0, 162, 16.4, 194.5, 0.57, 0.33, 1.53
2019, 5, 20.6, 25.3, 16.1, 315, 20.3, 227.6, 0.46, 0.76, 1.39
2019, 6, 23.3, 26.9, 20.0, 355, 23.2, 516.3, -0.33, 0.04, 1.11
2019, 7, 26.2, 29.7, 23.7, 796, 27.3, 339.3, 1.43, 1.49, 1.52
2019, 8, 27.5, 30.9, 24.7, 349, 27.6, 275.5, 1.31, 1.34, 1.58
2019, 9, 26.0, 29.5, 23.1, 329, 24.7, 370.9, 1.43, 1.06, 1.12
2019, 10, 21.7, 26.3, 18.0, 211, 20.0, 196.7, 0.35, 1.14, 1.15
2019, 11, 15.4, 20.6, 10.7, 59, 14.7, 105.7, -0.03, 0.94, 1.1
2019, 12, 11.1, 15.8, 6.7, 72, 9.7, 74.9, 0.04, 1.25, 1.05
2020, 1, 9.9, 15.1, 5.4, 135, 7.8, 72.7, 0.38, 0.37, 1.24
2020, 2, 10.4, 15.6, 5.6, 87, 8.9, 95.8, 0.77, 0.18, 1.12
2020, 3, 13.4, 17.9, 9.0, 122, 12.1, 155.7, 0.34, 0.11, 0.95
2020, 4, 15.3, 20.4, 10.3, 64, 16.4, 194.5, -1.49, -0.79, 0.75
2020, 5, 20.8, 24.8, 17.2, 246, 20.3, 227.6, -1.3, -0.67, 0.62
2020, 6, 24.4, 28.3, 21.1, 362, 23.2, 516.3, -1.13, -0.85, 0.6
2020, 7, 26.1, 29.9, 23.1, 647, 27.3, 339.3, 0.83, 0.19, 0.34
2020, 8, 29.3, 33.7, 25.7, 83, 27.6, 275.5, 0.25, -0.33, -0.21
2020, 9, 24.8, 28.5, 21.7, 383, 24.7, 370.9, 0.6, -0.1, -0.1
2020, 10, 19.9, 24.5, 15.5, 72, 20.0, 196.7, -0.87, -0.03, -0.38
2020, 11, 16.0, 21.3, 11.4, 65, 14.7, 105.7, -0.33, -0.09, -0.36
2020, 12, 9.0, 14.8, 3.7, 16, 9.7, 74.9, -1.28, 0.01, -0.5
