 , ,福江（フクエ）,日本,緯度:32.70N,経度:128.83E,高度:25 (m),
年,月,月平均気温,月平均最高気温,月平均最低気温,月降水量,月平均気温平年値,月平均降水量平年値,標準化降水指数（3か月）,標準化降水指数（6か月）,標準化降水指数（12か月）
,,(℃),(℃),(℃),(mm),(℃),（mm)
2019, 1, 8.4, 11.8, 4.4, 28, 7.6, 93.4, -0.96, -1.4, -1.49
2019, 2, 9.5, 13.2, 5.7, 114, 8.3, 109.5, -0.48, -0.67, -1.41
2019, 3, 11.7, 15.6, 7.3, 132, 10.9, 172.1, -1.03, -1.24, -1.72
2019, 4, 14.9, 19.0, 10.5, 234, 14.9, 216.1, -0.19, -0.72, -1.36
2019, 5, 19.4, 24.1, 15.0, 127, 18.8, 210.2, -0.79, -0.93, -1.53
2019, 6, 21.8, 25.6, 18.4, 282, 22.1, 324.2, -0.67, -1.12, -1.39
2019, 7, 24.9, 27.8, 22.8, 697, 26.2, 308.8, 1.03, 0.83, -0.21
2019, 8, 27.0, 30.5, 24.2, 274, 27.3, 239.6, 1.37, 0.83, 0.37
2019, 9, 24.7, 28.3, 22.0, 703, 24.1, 289.2, 2.51, 1.85, 1.34
2019, 10, 20.3, 23.9, 17.0, 173, 19.5, 132.7, 1.96, 2.01, 1.55
2019, 11, 15.1, 19.7, 10.7, 50, 14.6, 134.1, 1.65, 2.01, 1.46
2019, 12, 11.0, 14.8, 7.1, 169, 9.8, 108.9, 0.31, 2.41, 1.53
2020, 1, 10.3, 13.3, 7.5, 183, 7.6, 93.4, 0.51, 2.13, 1.99
2020, 2, 10.0, 13.7, 5.9, 133, 8.3, 109.5, 1.48, 2.13, 1.91
2020, 3, 12.0, 15.9, 7.7, 288, 10.9, 172.1, 1.85, 1.38, 2.22
2020, 4, 13.6, 18.0, 8.8, 115, 14.9, 216.1, 0.28, 0.49, 1.96
2020, 5, 19.5, 23.5, 15.5, 207, 18.8, 210.2, -0.01, 0.86, 2.16
2020, 6, 23.4, 26.8, 20.1, 483, 22.1, 324.2, 0.12, 1.05, 2.6
2020, 7, 24.8, 27.9, 22.6, 647, 26.2, 308.8, 1.81, 1.74, 2.9
2020, 8, 28.2, 31.7, 25.2, 228, 27.3, 239.6, 1.67, 1.44, 2.8
2020, 9, 23.3, 26.7, 20.2, 569, 24.1, 289.2, 1.98, 1.7, 2.15
2020, 10, 19.3, 23.1, 16.1, 181, 19.5, 132.7, 1.44, 2.14, 2.13
2020, 11, 15.2, 18.9, 11.2, 89, 14.6, 134.1, 1.36, 2.04, 2.17
2020, 12, 9.0, 12.7, 5.1, 64, 9.8, 108.9, -0.12, 1.76, 1.95
