 , ,松山（マツヤマ）,日本,緯度:33.85N,経度:132.78E,高度:32 (m),
年,月,月平均気温,月平均最高気温,月平均最低気温,月降水量,月平均気温平年値,月平均降水量平年値,標準化降水指数（3か月）,標準化降水指数（6か月）,標準化降水指数（12か月）
,,(℃),(℃),(℃),(mm),(℃),（mm)
2019, 1, 7.2, 11.2, 3.2, 25, 6.2, 50.9, -0.68, 0.73, 1.53
2019, 2, 8.2, 12.2, 4.6, 82, 6.8, 65.7, 0.46, 1.51, 1.69
2019, 3, 10.9, 15.3, 6.7, 121, 9.9, 105.1, 0.48, -0.58, 1.51
2019, 4, 14.8, 19.4, 10.7, 76, 14.8, 107.3, 0.14, -0.29, 1.26
2019, 5, 20.3, 25.5, 15.4, 36, 19.4, 129.5, -1.08, -0.74, 0.89
2019, 6, 23.0, 27.5, 19.5, 156, 22.9, 228.7, -1.71, -1.32, 0.77
2019, 7, 26.1, 30.0, 23.3, 252, 27.1, 223.5, -0.62, -0.56, 0.05
2019, 8, 27.8, 32.0, 24.5, 200, 28.1, 99.0, 0.52, -0.04, 0.84
2019, 9, 26.3, 31.2, 22.5, 35, 24.6, 148.9, 0.3, -0.72, -0.9
2019, 10, 20.7, 25.1, 17.1, 66, 19.1, 113.0, -0.31, -0.66, -0.77
2019, 11, 14.1, 19.2, 9.7, 13, 13.6, 71.3, -2.27, -0.58, -0.83
2019, 12, 9.7, 13.9, 5.9, 87, 8.5, 61.8, -0.93, -0.08, -0.79
2020, 1, 8.7, 12.7, 5.4, 93, 6.2, 50.9, 0.43, -0.2, -0.51
2020, 2, 8.4, 12.7, 4.6, 55, 6.8, 65.7, 1.26, -1.2, -0.61
2020, 3, 11.4, 15.9, 7.1, 101, 9.9, 105.1, 0.78, -0.13, -0.68
2020, 4, 13.3, 18.0, 8.6, 162, 14.8, 107.3, 0.64, 0.7, -0.31
2020, 5, 20.1, 24.7, 16.0, 108, 19.4, 129.5, 0.38, 0.9, -0.09
2020, 6, 24.2, 28.4, 20.7, 236, 22.9, 228.7, 0.28, 0.54, 0.22
2020, 7, 25.6, 29.4, 22.8, 552, 27.1, 223.5, 1.86, 1.98, 1.54
2020, 8, 29.7, 34.5, 25.9, 11, 28.1, 99.0, 1.41, 1.45, 0.73
2020, 9, 25.2, 29.7, 21.9, 135, 24.6, 148.9, 1.3, 1.19, 1.04
2020, 10, 18.8, 23.5, 14.9, 116, 19.1, 113.0, -0.63, 1.04, 1.21
2020, 11, 14.7, 19.5, 10.4, 57, 13.6, 71.3, -0.08, 1.07, 1.32
2020, 12, 7.9, 12.5, 4.2, 39, 8.5, 61.8, -0.17, 1.14, 1.15
