 , ,高松（タカマツ）,日本,緯度:34.32N,経度:134.05E,高度:8 (m),
年,月,月平均気温,月平均最高気温,月平均最低気温,月降水量,月平均気温平年値,月平均降水量平年値,標準化降水指数（3か月）,標準化降水指数（6か月）,標準化降水指数（12か月）
,,(℃),(℃),(℃),(mm),(℃),（mm)
2019, 1, 6.8, 10.8, 2.6, 24, 5.9, 39.4, -1.45, 0.97, 1.55
2019, 2, 7.5, 11.3, 3.7, 44, 6.3, 45.8, -0.43, 1.24, 1.56
2019, 3, 10.2, 14.5, 5.7, 88, 9.4, 81.4, -0.15, -1.49, 1.37
2019, 4, 14.5, 19.6, 9.8, 70, 14.7, 74.6, -0.12, -0.97, 1.42
2019, 5, 20.6, 26.2, 15.6, 31, 19.8, 100.9, -1, -1.16, 1.13
2019, 6, 23.6, 28.0, 20.1, 112, 23.3, 153.1, -1.4, -1.33, 1.12
2019, 7, 26.5, 30.2, 23.7, 168, 27.5, 159.8, -0.82, -0.82, 0.35
2019, 8, 28.4, 32.4, 25.3, 140, 28.6, 106.0, 0.11, -0.43, 0.64
2019, 9, 26.4, 30.6, 23.0, 65, 24.7, 167.4, -0.29, -1.03, -1.57
2019, 10, 20.7, 24.3, 17.2, 118, 19.0, 120.1, -0.29, -0.82, -1.12
2019, 11, 13.5, 18.3, 8.7, 25, 13.2, 55.0, -0.98, -0.66, -1.05
2019, 12, 9.1, 13.2, 5.0, 47, 8.1, 46.7, -0.19, -0.4, -1.05
2020, 1, 8.4, 11.8, 5.0, 56, 5.9, 39.4, -0.27, -0.43, -0.92
2020, 2, 7.6, 12.2, 3.1, 36, 6.3, 45.8, 0.21, -0.92, -0.94
2020, 3, 11.0, 15.9, 6.4, 90, 9.4, 81.4, 0.33, -0.04, -0.93
2020, 4, 13.5, 18.4, 8.5, 128, 14.7, 74.6, 0.73, 0.33, -0.66
2020, 5, 20.6, 25.5, 16.1, 64, 19.8, 100.9, 0.26, 0.27, -0.57
2020, 6, 24.6, 29.0, 21.2, 148, 23.3, 153.1, -0.03, 0.08, -0.43
2020, 7, 25.8, 29.4, 23.4, 284, 27.5, 159.8, 0.64, 0.82, 0.15
2020, 8, 30.6, 35.5, 26.7, 10, 28.6, 106.0, 0.27, 0.29, -0.49
2020, 9, 25.5, 29.7, 22.4, 122, 24.7, 167.4, -0.03, -0.12, -0.16
2020, 10, 18.6, 22.7, 14.8, 122, 19.0, 120.1, -0.75, -0.24, -0.14
2020, 11, 14.2, 18.6, 10.0, 38, 13.2, 55.0, -0.37, -0.17, -0.08
2020, 12, 8.0, 12.2, 4.1, 12, 8.1, 46.7, -0.44, -0.26, -0.23
