 , ,高知（コウチ）,日本,緯度:33.57N,経度:133.55E,高度:0 (m),
年,月,月平均気温,月平均最高気温,月平均最低気温,月降水量,月平均気温平年値,月平均降水量平年値,標準化降水指数（3か月）,標準化降水指数（6か月）,標準化降水指数（12か月）
,,(℃),(℃),(℃),(mm),(℃),（mm)
2019, 1, 7.3, 13.1, 2.6, 24, 6.7, 59.1, -0.94, 0.32, 0.81
2019, 2, 9.3, 14.2, 5.4, 81, 7.8, 107.8, -0.4, 0.52, 0.78
2019, 3, 11.7, 16.9, 7.0, 144, 11.2, 174.8, -0.63, -1.29, 0.59
2019, 4, 15.5, 20.5, 10.9, 207, 15.8, 225.3, -0.81, -1.06, 0.56
2019, 5, 20.1, 25.1, 15.1, 184, 20.0, 280.4, -1.24, -1.21, 0.4
2019, 6, 23.1, 27.3, 19.5, 385, 23.1, 359.5, -0.7, -1.09, 0.49
2019, 7, 25.9, 29.2, 23.4, 473, 27.0, 357.3, 0.4, -0.13, 0.12
2019, 8, 27.7, 31.4, 24.6, 281, 27.9, 284.1, 0.47, -0.14, 0.19
2019, 9, 26.4, 30.8, 23.1, 224, 25.0, 398.1, 0.04, -0.41, -0.87
2019, 10, 21.9, 26.8, 17.9, 400, 19.9, 207.5, 0.2, 0.32, -0.2
2019, 11, 14.4, 19.9, 9.5, 21, 14.2, 129.6, -0.03, 0.27, -0.33
2019, 12, 10.3, 15.4, 5.9, 117, 8.8, 83.1, 1.02, 0.42, -0.23
2020, 1, 9.2, 14.4, 5.0, 153, 6.7, 59.1, 0.43, 0.24, 0.07
2020, 2, 9.0, 14.5, 4.2, 100, 7.8, 107.8, 1.21, 0.39, 0.11
2020, 3, 12.3, 17.3, 7.5, 175, 11.2, 174.8, 0.72, 1.25, 0.17
2020, 4, 14.4, 19.7, 9.2, 174, 15.8, 225.3, -0.69, -0.32, 0.11
2020, 5, 20.5, 25.2, 16.4, 307, 20.0, 280.4, -0.37, 0.41, 0.36
2020, 6, 24.0, 28.1, 20.6, 441, 23.1, 359.5, -0.01, 0.39, 0.51
2020, 7, 25.8, 29.1, 23.2, 952, 27.0, 357.3, 2.47, 2, 1.44
2020, 8, 29.2, 34.0, 25.5, 92, 27.9, 284.1, 1.42, 1.15, 1.1
2020, 9, 25.1, 29.4, 21.7, 455, 25.0, 398.1, 1.3, 1.12, 1.42
2020, 10, 19.6, 24.8, 15.2, 273, 19.9, 207.5, -0.08, 1.54, 1.29
2020, 11, 15.5, 21.0, 10.7, 95, 14.2, 129.6, 0.61, 1.44, 1.43
2020, 12, 8.7, 14.7, 3.9, 25, 8.8, 83.1, 0.22, 1.25, 1.17
