 , ,徳島（トクシマ）,日本,緯度:34.07N,経度:134.57E,高度:1 (m),
年,月,月平均気温,月平均最高気温,月平均最低気温,月降水量,月平均気温平年値,月平均降水量平年値,標準化降水指数（3か月）,標準化降水指数（6か月）,標準化降水指数（12か月）
,,(℃),(℃),(℃),(mm),(℃),（mm)
2019, 1, 7.1, 10.9, 3.6, 16, 6.3, 41.9, -1.12, -0.23, 0.05
2019, 2, 8.2, 11.8, 4.9, 48, 6.8, 53.0, -0.42, -0.2, -0.01
2019, 3, 10.8, 15.2, 6.7, 84, 9.9, 87.8, -0.55, -1.41, -0.21
2019, 4, 14.5, 19.1, 10.4, 120, 15.0, 104.3, -0.29, -0.9, -0.03
2019, 5, 20.2, 24.9, 15.8, 190, 19.6, 146.6, 0.4, 0.02, -0.05
2019, 6, 23.2, 27.1, 20.0, 204, 23.0, 192.6, 0.19, -0.11, -0.13
2019, 7, 25.8, 29.2, 23.3, 267, 26.8, 177.0, 0.62, 0.4, -0.12
2019, 8, 28.0, 32.0, 25.1, 193, 28.1, 193.0, 0.35, 0.43, 0
2019, 9, 26.2, 30.2, 23.1, 64, 24.8, 271.2, -0.54, -0.45, -1.02
2019, 10, 20.8, 24.2, 17.8, 289, 19.3, 199.5, -0.41, -0.06, -0.42
2019, 11, 14.2, 18.4, 10.2, 8, 13.8, 89.2, -0.89, -0.45, -0.48
2019, 12, 9.8, 13.7, 6.1, 63, 8.7, 63.9, 0.36, -0.39, -0.44
2020, 1, 8.9, 12.2, 5.9, 80, 6.3, 41.9, -0.42, -0.56, -0.28
2020, 2, 8.4, 12.4, 4.6, 30, 6.8, 53.0, 0.24, -0.76, -0.33
2020, 3, 11.3, 15.6, 7.2, 82, 9.9, 87.8, 0.1, 0.32, -0.34
2020, 4, 13.8, 18.5, 9.4, 117, 15.0, 104.3, -0.59, -0.7, -0.33
2020, 5, 20.4, 24.9, 16.6, 103, 19.6, 146.6, -0.47, -0.29, -0.59
2020, 6, 24.1, 28.1, 20.9, 159, 23.0, 192.6, -0.8, -0.68, -0.88
2020, 7, 25.7, 29.1, 23.4, 309, 26.8, 177.0, 0.17, -0.13, -0.8
2020, 8, 29.9, 34.6, 26.3, 19, 28.1, 193.0, -0.52, -0.8, -1.26
2020, 9, 25.1, 28.9, 22.1, 304, 24.8, 271.2, -0.15, -0.54, -0.42
2020, 10, 18.7, 22.5, 15.5, 388, 19.3, 199.5, 0.16, 0.13, -0.16
2020, 11, 14.9, 18.8, 11.2, 45, 13.8, 89.2, 0.59, 0.11, -0.06
2020, 12, 8.6, 12.4, 5.3, 10, 8.7, 63.9, 0.88, 0.17, -0.18
