 , ,名瀬（ナゼ）,日本,緯度:28.38N,経度:129.50E,高度:2 (m),
年,月,月平均気温,月平均最高気温,月平均最低気温,月降水量,月平均気温平年値,月平均降水量平年値,標準化降水指数（3か月）,標準化降水指数（6か月）,標準化降水指数（12か月）
,,(℃),(℃),(℃),(mm),(℃),（mm)
2019, 1, 15.8, 18.8, 12.6, 82, 15.0, 184.1, -1.4, 0.46, 0.36
2019, 2, 17.2, 19.7, 14.6, 224, 15.3, 161.6, -0.37, -0.26, 0.42
2019, 3, 17.9, 21.0, 15.0, 189, 17.1, 210.1, -0.3, -1.2, 0.55
2019, 4, 20.1, 23.6, 16.9, 339, 19.8, 213.9, 1.06, -0.13, 0.86
2019, 5, 22.5, 26.4, 19.3, 307, 22.8, 278.1, 0.6, 0.21, 1.04
2019, 6, 25.3, 28.3, 22.8, 649, 26.2, 427.4, 1.2, 0.86, 1.19
2019, 7, 28.4, 31.5, 26.1, 206, 28.8, 214.9, 0.78, 1.02, 0.98
2019, 8, 28.7, 31.9, 26.5, 366, 28.5, 294.4, 0.88, 0.99, 0.56
2019, 9, 27.7, 31.0, 25.1, 429, 27.0, 346.0, 0.52, 1.01, 0.36
2019, 10, 24.5, 27.4, 22.1, 192, 23.9, 261.3, 0.39, 0.69, 0.54
2019, 11, 20.6, 24.0, 17.5, 362, 20.4, 173.6, 0.74, 1.03, 0.94
2019, 12, 17.6, 20.8, 14.8, 210, 16.7, 170.4, 0.8, 0.82, 1.06
2020, 1, 16.5, 19.5, 13.8, 138, 15.0, 184.1, 1.04, 0.77, 1.2
2020, 2, 16.3, 19.7, 13.1, 115, 15.3, 161.6, -0.2, 0.56, 1.08
2020, 3, 17.8, 20.8, 14.9, 234, 17.1, 210.1, -0.36, 0.44, 1.12
2020, 4, 17.8, 21.3, 14.2, 125, 19.8, 213.9, -0.74, 0.31, 0.76
2020, 5, 23.2, 26.3, 20.2, 234, 22.8, 278.1, -0.79, -0.69, 0.62
2020, 6, 27.1, 30.3, 24.6, 545, 26.2, 427.4, -0.1, -0.28, 0.42
2020, 7, 28.4, 31.7, 25.9, 328, 28.8, 214.9, 0.62, 0.21, 0.64
2020, 8, 28.9, 32.6, 25.9, 286, 28.5, 294.4, 0.72, 0.27, 0.51
2020, 9, 26.5, 29.6, 24.2, 484, 27.0, 346.0, 0.75, 0.47, 0.56
2020, 10, 23.6, 27.0, 20.9, 233, 23.9, 261.3, 0.43, 0.62, 0.66
2020, 11, 21.4, 24.5, 18.3, 72, 20.4, 173.6, 0.17, 0.56, 0.17
2020, 12, 16.6, 19.2, 14.2, 248, 16.7, 170.4, -0.09, 0.56, 0.21
