 , ,石垣島（イシガキジマ）,日本,緯度:24.33N,経度:124.17E,高度:5 (m),
年,月,月平均気温,月平均最高気温,月平均最低気温,月降水量,月平均気温平年値,月平均降水量平年値,標準化降水指数（3か月）,標準化降水指数（6か月）,標準化降水指数（12か月）
,,(℃),(℃),(℃),(mm),(℃),（mm)
2019, 1, 19.9, 22.6, 17.6, 265, 18.9, 135.0, 0.55, 1.16, 0.82
2019, 2, 22.2, 24.7, 20.0, 190, 19.4, 124.0, 1.41, 0.83, 1.13
2019, 3, 21.9, 24.6, 19.6, 223, 20.9, 134.4, 1.83, 1.17, 1.52
2019, 4, 24.8, 27.3, 22.7, 339, 23.4, 146.9, 1.75, 1.62, 2.02
2019, 5, 25.8, 28.7, 23.7, 137, 25.9, 190.7, 0.91, 1.44, 2.17
2019, 6, 28.3, 30.7, 26.5, 116, 28.4, 208.2, 0.2, 1.02, 2.04
2019, 7, 29.9, 32.1, 28.1, 210, 29.6, 142.3, -0.41, 0.82, 1.37
2019, 8, 29.6, 32.2, 27.5, 377, 29.4, 249.8, 0.47, 0.87, 1.23
2019, 9, 27.8, 30.5, 25.8, 470, 28.2, 259.7, 1.68, 1.24, 1.58
2019, 10, 26.0, 29.1, 23.9, 27, 26.0, 211.2, 0.85, 0.31, 1.18
2019, 11, 23.6, 26.5, 21.2, 25, 23.6, 138.1, -0.18, 0.15, 1.07
2019, 12, 21.1, 23.7, 19.2, 325, 20.5, 155.2, -0.52, 1.01, 1.28
2020, 1, 20.0, 22.7, 17.8, 34, 18.9, 135.0, -0.2, 0.59, 0.94
2020, 2, 20.4, 23.4, 18.0, 45, 19.4, 124.0, 0.21, -0.16, 0.62
2020, 3, 21.7, 24.7, 19.5, 148, 20.9, 134.4, -1.2, -1.12, 0.47
2020, 4, 22.0, 24.8, 19.8, 80, 23.4, 146.9, -0.66, -0.66, -0.14
2020, 5, 26.7, 29.3, 24.8, 497, 25.9, 190.7, 0.99, 0.91, 0.7
2020, 6, 29.6, 32.1, 27.9, 490, 28.4, 208.2, 1.73, 1.08, 1.52
2020, 7, 30.3, 32.9, 28.4, 203, 29.6, 142.3, 2.1, 1.5, 1.51
2020, 8, 29.6, 31.9, 27.2, 474, 29.4, 249.8, 1.75, 1.94, 1.68
2020, 9, 28.5, 31.3, 26.5, 118, 28.2, 259.7, 0.75, 1.75, 0.88
2020, 10, 26.2, 29.4, 23.8, 152, 26.0, 211.2, 0.38, 1.82, 1.18
2020, 11, 24.4, 27.0, 22.6, 46, 23.6, 138.1, -1.28, 0.94, 1.25
2020, 12, 20.4, 22.6, 18.6, 237, 20.5, 155.2, -0.18, 0.38, 0.93
