 , ,宮古島（ミヤコジマ）,日本,緯度:24.80N,経度:125.28E,高度:39 (m),
年,月,月平均気温,月平均最高気温,月平均最低気温,月降水量,月平均気温平年値,月平均降水量平年値,標準化降水指数（3か月）,標準化降水指数（6か月）,標準化降水指数（12か月）
,,(℃),(℃),(℃),(mm),(℃),（mm)
2019, 1, 19.3, 21.7, 17.4, 240, 18.3, 138.8, 0.93, 2.03, 1.33
2019, 2, 21.3, 23.8, 19.3, 159, 18.6, 119.8, 1.57, 0.99, 1.67
2019, 3, 21.0, 23.5, 18.9, 231, 20.1, 138.7, 1.55, 1.35, 1.9
2019, 4, 23.7, 26.2, 21.6, 206, 22.5, 148.7, 0.94, 1.21, 2.05
2019, 5, 25.0, 27.7, 23.0, 138, 25.0, 222.3, 0.36, 1.03, 2.16
2019, 6, 27.6, 30.1, 25.9, 116, 27.7, 194.7, -0.48, 0.34, 1.95
2019, 7, 29.1, 31.7, 27.0, 355, 28.9, 151.6, 0.19, 0.62, 1.64
2019, 8, 28.7, 31.2, 26.8, 371, 28.6, 257.4, 0.91, 0.78, 1.08
2019, 9, 27.3, 29.6, 25.5, 457, 27.6, 259.3, 1.97, 1.12, 1.46
2019, 10, 25.7, 27.8, 24.2, 64, 25.5, 157.9, 1.06, 0.81, 1.21
2019, 11, 23.1, 25.3, 21.5, 116, 23.1, 139.8, 0.55, 1.09, 1.36
2019, 12, 20.8, 23.0, 19.1, 249, 20.0, 147.2, -0.15, 1.68, 1.26
2020, 1, 19.4, 21.9, 17.4, 52, 18.3, 138.8, 0, 0.96, 0.96
2020, 2, 19.6, 22.5, 17.3, 63, 18.6, 119.8, -0.31, 0.22, 0.82
2020, 3, 21.0, 23.8, 18.8, 163, 20.1, 138.7, -1.02, -0.79, 0.65
2020, 4, 21.2, 23.7, 19.1, 82, 22.5, 148.7, -0.64, -0.53, 0.38
2020, 5, 26.1, 28.6, 24.0, 413, 25.0, 222.3, 0.66, 0.41, 1.02
2020, 6, 28.8, 31.4, 26.6, 341, 27.7, 194.7, 0.96, 0.41, 1.44
2020, 7, 29.4, 32.2, 27.0, 131, 28.9, 151.6, 1.26, 0.59, 0.97
2020, 8, 28.7, 31.2, 26.7, 479, 28.6, 257.4, 1.24, 1.22, 1.12
2020, 9, 27.8, 30.5, 25.9, 188, 27.6, 259.3, 0.73, 1.1, 0.56
2020, 10, 25.7, 27.9, 24.1, 113, 25.5, 157.9, 0.64, 1.24, 0.68
2020, 11, 24.1, 26.1, 22.5, 58, 23.1, 139.8, -1.03, 0.54, 0.58
2020, 12, 20.2, 22.1, 18.4, 424, 20.0, 147.2, 0.88, 1.03, 0.88
