 , ,那覇（ナハ）,日本,緯度:26.20N,経度:127.68E,高度:28 (m),
年,月,月平均気温,月平均最高気温,月平均最低気温,月降水量,月平均気温平年値,月平均降水量平年値,標準化降水指数（3か月）,標準化降水指数（6か月）,標準化降水指数（12か月）
,,(℃),(℃),(℃),(mm),(℃),（mm)
2019, 1, 18.1, 20.7, 15.8, 55, 17.3, 101.6, 0.25, 1.36, 0.6
2019, 2, 20.0, 22.7, 17.7, 157, 17.5, 114.5, 0.31, 1.6, 0.8
2019, 3, 19.9, 22.4, 17.5, 184, 19.1, 142.8, 0.24, 1.25, 0.95
2019, 4, 22.3, 24.9, 20.2, 128, 21.5, 161.0, 0.33, 0.34, 0.98
2019, 5, 24.2, 27.0, 21.9, 209, 24.2, 245.3, -0.07, 0.05, 1.3
2019, 6, 26.5, 29.0, 24.4, 596, 27.2, 284.4, 0.94, 0.82, 2.04
2019, 7, 28.9, 31.5, 26.8, 284, 29.1, 188.1, 1.36, 1.22, 1.74
2019, 8, 29.2, 31.8, 27.3, 208, 29.0, 240.0, 1.35, 0.95, 1.54
2019, 9, 28.0, 30.7, 26.1, 478, 27.9, 275.2, 1.18, 1.39, 1.66
2019, 10, 26.0, 28.6, 24.2, 105, 25.5, 179.2, 0.68, 1.31, 1.2
2019, 11, 23.1, 25.6, 21.0, 136, 22.5, 119.1, 0.98, 1.54, 1.17
2019, 12, 20.0, 22.6, 17.8, 101, 19.0, 110.0, -0.24, 0.83, 1.04
2020, 1, 18.7, 21.4, 16.3, 24, 17.3, 101.6, -0.61, 0.31, 1.05
2020, 2, 18.7, 21.9, 16.1, 10, 17.5, 114.5, -2.05, 0.09, 0.83
2020, 3, 20.1, 22.9, 17.5, 203, 19.1, 142.8, -1.14, -0.91, 0.85
2020, 4, 19.8, 22.5, 17.5, 68, 21.5, 161.0, -0.89, -1.04, 0.75
2020, 5, 24.8, 27.6, 22.6, 545, 24.2, 245.3, 1.14, 0.31, 1.39
2020, 6, 28.1, 30.8, 26.1, 335, 27.2, 284.4, 0.99, 0.44, 0.9
2020, 7, 29.3, 32.1, 26.9, 281, 29.1, 188.1, 1.55, 0.94, 0.88
2020, 8, 29.4, 32.2, 27.3, 370, 29.0, 240.0, 1.05, 1.39, 1.19
2020, 9, 27.7, 30.3, 25.7, 177, 27.9, 275.2, 0.75, 1.13, 0.55
2020, 10, 25.8, 28.6, 23.8, 203, 25.5, 179.2, 0.53, 1.37, 0.73
2020, 11, 23.4, 25.8, 21.7, 34, 22.5, 119.1, -0.36, 0.57, 0.55
2020, 12, 19.2, 21.3, 17.2, 233, 19.0, 110.0, 0.46, 0.79, 0.76
