 , ,南大東島（ミナミダイトウジマ）,日本,緯度:25.83N,経度:131.23E,高度:15 (m),
年,月,月平均気温,月平均最高気温,月平均最低気温,月降水量,月平均気温平年値,月平均降水量平年値,標準化降水指数（3か月）,標準化降水指数（6か月）,標準化降水指数（12か月）
,,(℃),(℃),(℃),(mm),(℃),（mm)
2019, 1, 18.5, 22.1, 14.5, 38, 18.0, 77.0, -0.37, -0.88, -1.56
2019, 2, 20.4, 23.5, 17.3, 66, 18.1, 79.9, 0.07, -0.43, -1.52
2019, 3, 20.4, 23.3, 17.3, 125, 19.5, 84.2, -0.16, -0.21, -1.13
2019, 4, 22.1, 25.1, 19.2, 71, 21.6, 113.6, -0.03, -0.31, -0.93
2019, 5, 23.9, 27.0, 20.8, 136, 24.1, 222.0, -0.31, -0.31, -0.47
2019, 6, 26.2, 28.5, 24.4, 521, 26.9, 199.6, 1.09, 0.86, 0.54
2019, 7, 28.5, 31.2, 26.2, 96, 28.7, 118.0, 1.04, 0.91, 0.18
2019, 8, 29.0, 31.7, 26.8, 210, 28.6, 151.1, 1.36, 1.01, 0.6
2019, 9, 28.7, 31.5, 26.0, 180, 27.9, 167.9, 0.4, 0.96, 0.69
2019, 10, 26.5, 30.0, 23.2, 50, 25.9, 180.5, -0.19, 0.66, 0.37
2019, 11, 24.0, 26.6, 21.8, 55, 23.1, 120.9, -1.09, 0.68, 0.34
2019, 12, 21.1, 23.9, 18.4, 209, 19.7, 124.7, -0.81, -0.17, 0.43
2020, 1, 19.7, 22.9, 16.4, 93, 18.0, 77.0, 0.32, -0.06, 0.63
2020, 2, 19.6, 22.7, 16.8, 27, 18.1, 79.9, 0.53, -0.65, 0.52
2020, 3, 20.8, 24.2, 17.7, 42, 19.5, 84.2, -0.89, -1.27, 0.28
2020, 4, 20.4, 23.4, 17.4, 82, 21.6, 113.6, -1.23, -0.52, 0.31
2020, 5, 24.1, 26.8, 21.9, 567, 24.1, 222.0, 1.67, 1.7, 1.38
2020, 6, 27.9, 30.6, 25.9, 329, 26.9, 199.6, 2.03, 1.55, 0.99
2020, 7, 29.0, 32.0, 26.6, 173, 28.7, 118.0, 2.05, 1.62, 1.28
2020, 8, 29.1, 32.1, 26.0, 178, 28.6, 151.1, 0.86, 1.67, 1.11
2020, 9, 27.6, 31.0, 24.6, 306, 27.9, 167.9, 1.17, 2.14, 1.42
2020, 10, 26.0, 28.9, 23.0, 143, 25.9, 180.5, 0.8, 2.08, 1.64
2020, 11, 23.8, 26.4, 21.5, 67, 23.1, 120.9, 0.53, 0.96, 1.71
2020, 12, 20.6, 22.8, 18.4, 288, 19.7, 124.7, 0.68, 1.28, 1.88
