 , ,父島（チチジマ）,日本,緯度:27.08N,経度:142.18E,高度:2 (m),
年,月,月平均気温,月平均最高気温,月平均最低気温,月降水量,月平均気温平年値,月平均降水量平年値,標準化降水指数（3か月）,標準化降水指数（6か月）,標準化降水指数（12か月）
,,(℃),(℃),(℃),(mm),(℃),（mm)
2019, 1, 18.5, 21.0, 15.6, 29, 18.5, 63.6, -2.49, -2.84, -1.57
2019, 2, 19.8, 22.3, 16.9, 24, 18.1, 51.6, -2.44, -2.75, -1.71
2019, 3, 19.9, 22.4, 16.8, 80, 19.3, 75.8, -0.88, -2.08, -1.8
2019, 4, 20.5, 22.9, 18.2, 94, 21.1, 113.3, -0.21, -1.87, -1.4
2019, 5, 22.2, 24.5, 20.5, 184, 23.4, 151.9, 0.4, -0.87, -1.27
2019, 6, 26.0, 28.0, 24.3, 198, 26.2, 111.8, 0.79, 0.32, -1.15
2019, 7, 28.0, 30.4, 26.1, 154, 27.7, 79.5, 1.06, 0.85, -1.13
2019, 8, 28.1, 30.2, 26.3, 76, 28.0, 123.3, 0.81, 0.83, -1.03
2019, 9, 28.4, 30.5, 26.6, 213, 27.7, 144.2, 0.82, 1.04, -0.32
2019, 10, 27.2, 29.5, 24.9, 405, 26.4, 141.7, 1.72, 1.79, 0.77
2019, 11, 25.0, 27.2, 23.1, 51, 23.8, 136.1, 1.57, 1.59, 0.84
2019, 12, 22.7, 25.0, 20.3, 194, 20.6, 103.3, 1.48, 1.59, 1.42
2020, 1, 20.2, 22.6, 17.3, 54, 18.5, 63.6, -0.05, 1.32, 1.54
2020, 2, 18.8, 21.6, 15.6, 28, 18.1, 51.6, 0.47, 1.41, 1.57
2020, 3, 20.2, 22.7, 17.4, 138, 19.3, 75.8, 0.32, 1.38, 1.63
2020, 4, 20.9, 23.2, 18.7, 88, 21.1, 113.3, 0.35, 0.08, 1.46
2020, 5, 24.3, 26.2, 22.6, 189, 23.4, 151.9, 0.77, 0.79, 1.61
2020, 6, 27.8, 30.1, 26.0, 12, 26.2, 111.8, -0.39, -0.25, 1.16
2020, 7, 28.8, 31.6, 26.3, 68, 27.7, 79.5, -0.39, -0.27, 0.86
2020, 8, 28.8, 32.1, 26.1, 91, 28.0, 123.3, -1.04, -0.21, 0.92
2020, 9, 28.8, 31.3, 26.4, 172, 27.7, 144.2, 0.11, -0.3, 0.72
2020, 10, 27.0, 29.3, 25.0, 241, 26.4, 141.7, 0.8, 0.22, 0.14
2020, 11, 24.4, 26.4, 22.3, 200, 23.8, 136.1, 1.29, 0.33, 0.69
2020, 12, 20.9, 23.0, 18.4, 242, 20.6, 103.3, 1.63, 1.29, 0.84
