 , ,南鳥島（ミナミトリシマ）,日本,緯度:24.28N,経度:153.98E,高度:7 (m),
年,月,月平均気温,月平均最高気温,月平均最低気温,月降水量,月平均気温平年値,月平均降水量平年値,標準化降水指数（3か月）,標準化降水指数（6か月）,標準化降水指数（12か月）
,,(℃),(℃),(℃),(mm),(℃),（mm)
2019, 1, 22.1, 24.6, 19.7, 46, 22.4, 69.7, -0.15, -1.18, 0.13
2019, 2, 22.9, 25.5, 20.8, 48, 21.8, 43.4, -0.86, -0.63, -0.01
2019, 3, 23.8, 26.7, 21.5, 60, 22.5, 56.0, -0.13, -0.16, -0.5
2019, 4, 24.4, 27.3, 22.1, 36, 24.3, 59.6, 0.05, -0.15, -0.64
2019, 5, 25.9, 28.2, 24.1, 260, 26.1, 100.6, 1.46, 0.73, 0.27
2019, 6, 28.4, 31.3, 26.2, 25, 28.0, 44.3, 1.32, 1, 0.35
2019, 7, 29.4, 32.1, 27.3, 27, 28.5, 139.8, 0.36, 0.24, -0.8
2019, 8, 28.9, 31.6, 26.6, 186, 28.4, 177.1, -0.83, 0.28, -0.15
2019, 9, 29.1, 31.4, 26.9, 91, 28.5, 94.8, -0.68, 0.23, 0.04
2019, 10, 28.4, 30.6, 26.3, 111, 27.9, 89.6, 0.23, 0.29, 0.11
2019, 11, 27.3, 29.2, 25.3, 280, 26.5, 83.0, 1.55, 0.43, 0.69
2019, 12, 25.3, 27.4, 23.4, 151, 24.5, 90.8, 1.82, 0.82, 1.13
2020, 1, 23.3, 25.7, 21.5, 76, 22.4, 69.7, 1.95, 1.42, 1.11
2020, 2, 22.0, 24.5, 20.0, 38, 21.8, 43.4, 0.69, 1.51, 1.04
2020, 3, 23.0, 25.6, 21.2, 84, 22.5, 56.0, 0.43, 1.64, 1.12
2020, 4, 24.6, 27.5, 22.6, 25, 24.3, 59.6, 0.09, 1.67, 1.17
2020, 5, 27.1, 30.3, 24.5, 45, 26.1, 100.6, -0.15, 0.3, 0.46
2020, 6, 28.7, 31.9, 26.2, 18, 28.0, 44.3, -1.01, -0.45, 0.46
2020, 7, 29.1, 31.6, 26.9, 66, 28.5, 139.8, -1.27, -1.09, 0.61
2020, 8, 29.0, 31.9, 26.4, 111, 28.4, 177.1, -1.22, -1.06, 0.32
2020, 9, 29.3, 31.8, 26.6, 88, 28.5, 94.8, -1.01, -1.36, 0.29
2020, 10, 28.2, 30.6, 26.0, 202, 27.9, 89.6, 0.32, -0.61, 0.61
2020, 11, 27.5, 29.7, 25.5, 187, 26.5, 83.0, 1.52, 0.18, 0.25
2020, 12, 26.0, 28.3, 23.9, 23, 24.5, 90.8, 1.11, 0.01, -0.27
